BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,distribution,rep
-3.2795403054417647,-3.5295572090213603,-3.2559646565430675,-3.431274374106882,-3.272075895950862,-3.3608657745168617,-3.314591103403575,-3.278523042621351,-3.1702856795896457,beta,34
-2.7990812986518057,-3.11830370177663,-2.780875091735572,-2.959622786162833,-3.009113847635632,-3.118103324233204,-3.9768965020785862,-3.6539882386412943,-2.983216924134441,exponential,64
-2.0948164493843877,-2.3145952872768447,-2.0829564446554505,-2.272270290321003,-2.673230873466513,-2.550680137913816,-4.902005973697582,-3.785773574719785,-2.716506771355616,logistic,55
-2.80887067138976,-3.0201050496878747,-2.792444879063277,-2.900985672032905,-3.0033107078404613,-2.9253777858366155,-3.982386908816237,-3.644112641461598,-2.984455477209344,exponential,85
-3.2832876273005422,-3.48735404966659,-3.269129263868598,-3.398060454296012,-3.236441316124432,-3.370827163912117,-3.306284753354052,-3.2838088099059832,-3.172951598135828,beta,29
-2.0832853627611025,-2.2920951781193293,-2.075374552957628,-2.260733295775593,-2.7388153879405035,-2.601780960138474,-4.958300731880745,-3.809709894881223,-2.722797056937377,logistic,63
-2.1348791979741657,-2.382442884315287,-2.1142288967977385,-2.3279838149338503,-2.648070241282828,-2.616146875664092,-4.911566006491522,-3.792514459870715,-2.735371112894907,logistic,24
-2.8102227593698945,-3.095354610092592,-2.795459262130933,-2.967019866202154,-2.9565847696065704,-2.9868925083174145,-3.916532389644324,-3.6372672792710414,-2.994189775945161,gamma,85
-3.305218425190366,-3.5419493995696216,-3.289422263718392,-3.436204249054833,-3.236388189582676,-3.3459729011431665,-3.3028086198678563,-3.2845739566205223,-3.1761622293669878,beta,88
-3.3084524786038743,-3.544970817293683,-3.2847046453172872,-3.431395759521521,-3.302093853369988,-3.2863852902887984,-3.31980350025762,-3.295363495548197,-3.170383582542021,uniform,16
-2.141490248158604,-2.377213602656351,-2.13101360161666,-2.3371318238897234,-2.7619452982636448,-2.64209914616538,-4.748263494033253,-3.7933869052963543,-2.736735994451473,logistic,17
-2.721537348532338,-2.9317272672717287,-2.720616605906842,-2.8401723283858225,-2.8921989600808304,-2.8524796083295514,-4.10616256674934,-3.599273307512881,-2.9156244084593936,normal,3
-3.315295417136748,-3.5362324945200125,-3.2993510170160154,-3.433068441027869,-3.296182361419396,-3.366171800610376,-3.2920787018653077,-3.266170841341724,-3.177044116863795,beta,38
