prop_stdl_>_std,prop_ho_>_std,prop_hol_>_std,prop_point_>_std,prop_spring_>_std,N,M,K1,K2,trainsize,rep
0.8530612244897959,0.12244897959183673,0.8612244897959184,0.8020408163265306,0.8530612244897959,1000,1000,2,5,0.020892961308540396,13
0.46554149085794655,0.6582278481012658,0.4929676511954993,0.03867791842475387,0.5112517580872011,1000,1500,8,8,0.05248074602497726,8
0.42482758620689653,0.4124137931034483,0.4317241379310345,0.32,0.3972413793103448,1000,1000,2,5,0.2754228703338166,12
0.9525252525252526,0.03838383838383838,0.9535353535353536,0.9454545454545454,0.9595959595959596,1000,1000,2,4,0.01,3
0.19152276295133439,0.5934065934065934,0.22919937205651492,0.25274725274725274,0.19937205651491366,1000,1500,8,8,0.5754399373371569,18
0.6450924608819346,0.29871977240398295,0.6465149359886202,0.612375533428165,0.697724039829303,1000,1500,3,3,0.06309573444801933,17
0.7864372469635628,0.35020242914979755,0.7813765182186235,0.5101214574898786,0.8046558704453441,1000,1000,6,10,0.012022644346174132,0
0.44518272425249167,0.45514950166112955,0.446843853820598,0.3521594684385382,0.4152823920265781,1000,1000,2,4,0.3981071705534973,9
0.6582709326072158,0.40095302927161336,0.6548672566371682,0.4268209666439755,0.6623553437712729,1000,1500,5,7,0.020892961308540396,16
0.549792531120332,0.5726141078838174,0.5622406639004149,0.16597510373443983,0.5860995850622407,1000,1000,6,10,0.03630780547701014,3
0.822680412371134,0.1725085910652921,0.822680412371134,0.7993127147766323,0.8281786941580757,1000,1500,3,3,0.03019951720402016,6
0.2134387351778656,0.5968379446640316,0.24110671936758893,0.20948616600790515,0.19367588932806323,1000,1500,8,8,0.8317637711026709,0
0.8855670103092783,0.12268041237113401,0.8824742268041237,0.845360824742268,0.8927835051546392,1000,1000,2,4,0.03019951720402016,13
0.37452033768227166,0.6162701458173446,0.40138142747505756,0.12279355333844973,0.4205679201841903,1000,1500,6,8,0.13182567385564073,13
0.42424242424242425,0.6632996632996633,0.4657687991021324,0.06060606060606061,0.49607182940516276,1000,1000,6,9,0.1096478196143185,3
0.6471794871794871,0.5333333333333333,0.6451282051282051,0.28102564102564104,0.6594871794871795,1000,1000,6,10,0.025118864315095794,14
0.7388663967611336,0.2823886639676113,0.7358299595141701,0.5637651821862348,0.7601214574898786,1000,1000,6,9,0.012022644346174132,19
0.951417004048583,0.06174089068825911,0.9504048582995951,0.909919028340081,0.9352226720647774,1000,1000,2,4,0.012022644346174132,4
0.27744165946413135,0.6464995678478824,0.3526361279170268,0.2808988764044944,0.334485738980121,1000,1500,8,8,0.22908676527677735,10
0.2796934865900383,0.5504469987228607,0.33077905491698595,0.3231162196679438,0.31928480204342274,1000,1500,5,7,0.47863009232263826,17
0.43844492440604754,0.4168466522678186,0.4146868250539957,0.2915766738660907,0.30885529157667385,1000,1500,3,3,0.6918309709189366,13
0.6017699115044248,0.4758339006126617,0.6058543226684819,0.2675289312457454,0.6262763784887678,1000,1500,6,8,0.020892961308540396,1
0.7341772151898734,0.2510548523206751,0.7373417721518988,0.6645569620253164,0.7362869198312236,1000,1000,2,5,0.05248074602497726,0
0.805050505050505,0.2787878787878788,0.8090909090909091,0.592929292929293,0.8252525252525252,1000,1000,6,9,0.01,12
0.5835051546391753,0.4859106529209622,0.5766323024054982,0.2859106529209622,0.5903780068728522,1000,1500,5,7,0.03019951720402016,16
0.48989547038327524,0.6202090592334495,0.5059233449477352,0.10104529616724739,0.5358885017421603,1000,1500,6,8,0.04365158322401661,10
0.7436708860759493,0.21940928270042195,0.7447257383966245,0.6751054852320675,0.7710970464135021,1000,1000,2,5,0.05248074602497726,8
0.27011494252873564,0.5708812260536399,0.2950191570881226,0.3065134099616858,0.2777777777777778,1000,1000,6,9,0.47863009232263826,2
0.9444444444444444,0.05353535353535353,0.9444444444444444,0.9333333333333333,0.9515151515151515,1000,1000,2,5,0.01,11
0.8402489626556017,0.1275933609958506,0.8371369294605809,0.83298755186722,0.8589211618257261,1000,1000,2,4,0.03630780547701014,6
