prop_ho_greater_std,prop_hol_greater_std,dataset,rep,model
0.45038167938931295,0.4351145038167939,ucl,10,hol
0.4931506849315068,0.5753424657534246,fifa,16,ho
0.366412213740458,0.4351145038167939,ucl,37,ho
0.3972602739726027,0.4383561643835616,fifa,43,hol
0.5205479452054794,0.4657534246575342,fifa,18,hol
0.581081081081081,0.6013513513513513,authors,33,hol
0.3972602739726027,0.4383561643835616,fifa,24,hol
0.5202702702702703,0.527027027027027,authors,44,ho
0.2972972972972973,0.25675675675675674,authors,27,ho
0.3893129770992366,0.3435114503816794,ucl,30,hol
0.46564885496183206,0.4122137404580153,ucl,39,hol
0.3816793893129771,0.3893129770992366,ucl,5,hol
0.33587786259541985,0.4122137404580153,ucl,30,ho
0.5342465753424658,0.5205479452054794,fifa,17,ho
0.4351145038167939,0.3511450381679389,ucl,37,hol
0.410958904109589,0.4383561643835616,fifa,25,hol
0.4732824427480916,0.40458015267175573,ucl,32,hol
0.3581081081081081,0.3716216216216216,authors,6,ho
0.4794520547945205,0.4520547945205479,fifa,2,hol
0.3716216216216216,0.3310810810810811,authors,25,hol
