newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
-3.718808997896228e-11,-2.378119881938506e-10,1.0383958252459247e-10,-0.048252171285882724,-0.048252171285882724,-0.6315679029155388,-0.6315679029155388,-0.833385099850612,910
-4.842602186784506e-11,-2.625147278913914e-10,-5.45894285981438e-10,-0.048757177909704484,-0.048757177909704484,-0.6238110880117447,-0.6238110880117447,-1.0467612247517963,852
-1.127018817801556e-10,6.125104774941381e-11,2.0968318287760413e-10,-0.05832788742862145,-0.05832788742862145,-0.6695639736680318,-0.6695639736680318,-0.9030998811794207,410
1.526855838204083e-11,5.913694049210216e-11,-1.6574957022175153e-10,-0.0578662621485607,-0.0578662621485607,-0.5900806418632446,-0.5900806418632446,-0.769899269117783,249
-7.411062240350597e-10,-3.464580967602049e-10,-4.867779267950928e-10,-0.05614198463212483,-0.05614198463212483,-0.683877128924989,-0.683877128924989,-0.8670235005382062,474
6.401009912046507e-11,1.8452800711402096e-10,6.099467425944166e-10,-0.0455176330822945,-0.0455176330822945,-0.6637615538593169,-0.6637615538593169,-0.815047475263218,618
-1.2115902253695409e-11,-4.410433990095428e-10,-1.0150029521559245e-10,-0.044071407564625145,-0.044071407564625145,-0.5578362312099295,-0.5578362312099295,-1.0673782774947336,84
-1.0610555042922521e-10,9.412126614379013e-11,4.448470788086245e-11,-0.04868233730693214,-0.04868233730693214,-0.5677565651290126,-0.5677565651290126,-0.9263194123954914,359
-1.9927540101036257e-10,-1.1715249454043174e-10,-4.903266624181612e-10,-0.047100248037833053,-0.047100248037833053,-0.6198841277276872,-0.6198841277276872,-0.7235185766141923,306
-7.695788550692029e-12,1.2091776021259936e-10,2.339902703879168e-10,-0.03530632905839105,-0.03530632905839105,-0.5738637619269569,-0.5738637619269569,-1.0412023687784486,947
4.2346232261882e-10,-7.356433877510338e-11,-1.6105347231190615e-10,-0.057926441190705634,-0.057926441190705634,-0.5959284878465646,-0.5959284878465646,-0.8130515143515856,65
-3.1153793916306736e-10,5.3491734080396424e-11,1.3833856403466792e-10,-0.025712818176716112,-0.025712818176716112,-0.5410070105871864,-0.5410070105871864,-0.9350798898216988,174
2.2601796166588085e-10,1.3274067334201333e-10,-1.1961878261176896e-10,-0.0592515048119368,-0.0592515048119368,-0.6736999642680389,-0.6736999642680389,-1.0024039443121915,348
2.666458033245139e-10,4.957311069905823e-10,4.1262394438225383e-10,-0.05722775920100081,-0.05722775920100081,-0.6281363493395086,-0.6281363493395086,-0.953302330384584,862
8.48544517862565e-11,3.109216626349942e-11,1.0727583151480535e-10,-0.06260887783331565,-0.06260887783331565,-0.7071559915819159,-0.7071559915819159,-0.8865290724128099,781
-1.3194670519210693e-10,5.422518896801981e-10,1.2083823539184302e-10,-0.056620051406569394,-0.056620051406569394,-0.5655336598700673,-0.5655336598700673,-0.9578855726441935,318
-3.510368904403524e-10,-2.790886583243363e-10,-5.013876440080126e-10,-0.045057901251093366,-0.045057901251093366,-0.5764835544504563,-0.5764835544504563,-1.0334366946447384,332
-1.1325662498291866e-10,-4.728108593862052e-10,-3.489756839787639e-10,-0.051210944098488385,-0.051210944098488385,-0.5581109014009898,-0.5581109014009898,-0.72049057099629,340
4.471963272502377e-10,5.906192960605794e-10,2.93221098495583e-10,-0.06427184725619793,-0.06427184725619793,-0.6405451684367187,-0.6405451684367187,-0.6531271313927464,14
-6.200313501167343e-11,-1.8665194701297794e-10,8.940030972459656e-11,-0.03983294938380997,-0.03983294938380997,-0.670478339280985,-0.670478339280985,-1.0065449615446398,705
-2.3089304605414252e-10,1.5241017349912345e-10,1.8896699569004306e-10,-0.056016396171814246,-0.056016396171814246,-0.6190673203279171,-0.6190673203279171,-0.7838214619994808,694
