,newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
219,0.5565,0.225,0.5595,0.5495,0.5865,0.411,0.4645,0.5495,993
220,0.546,0.2375,0.55,0.522,0.5575,0.3995,0.4525,0.532,91
221,0.532,0.2425,0.532,0.543,0.578,0.3985,0.449,0.532,383
222,0.528,0.2675,0.5285,0.5285,0.5555,0.3985,0.4485,0.529,352
223,0.533,0.248,0.531,0.537,0.5575,0.4095,0.4495,0.531,73
224,0.528,0.244,0.5215,0.5385,0.58,0.413,0.4625,0.5375,653
225,0.5425,0.253,0.5465,0.528,0.5535,0.3905,0.439,0.524,415
226,0.562,0.2435,0.549,0.5555,0.5855,0.423,0.4635,0.562,210
227,0.5445,0.242,0.5405,0.5365,0.5605,0.3815,0.4285,0.5255,765
228,0.528,0.2675,0.5245,0.5215,0.555,0.397,0.448,0.525,75
229,0.5385,0.2405,0.5325,0.533,0.5575,0.3905,0.445,0.5345,391
230,0.526,0.2455,0.5295,0.527,0.564,0.4005,0.4495,0.5235,35
231,0.5365,0.241,0.529,0.529,0.5575,0.395,0.447,0.5215,556
232,0.538,0.2555,0.544,0.5505,0.58,0.418,0.4785,0.5495,984
233,0.52,0.238,0.5165,0.517,0.5485,0.393,0.435,0.5145,178
234,0.522,0.2345,0.53,0.5405,0.5735,0.4015,0.4595,0.529,43
235,0.5275,0.2495,0.5205,0.521,0.555,0.388,0.441,0.5195,543
236,0.5525,0.2325,0.553,0.551,0.586,0.4075,0.4705,0.5425,892
237,0.539,0.2515,0.5385,0.538,0.5725,0.4025,0.4585,0.5355,962
238,0.5355,0.259,0.537,0.532,0.5605,0.3945,0.4395,0.5205,237
239,0.5515,0.237,0.544,0.5495,0.5825,0.415,0.4665,0.5515,78
240,0.5395,0.257,0.534,0.5195,0.545,0.3905,0.4305,0.5175,602
241,0.5475,0.2635,0.539,0.5455,0.563,0.404,0.46,0.541,102
242,0.5505,0.249,0.5505,0.5385,0.5665,0.4055,0.4565,0.537,745
243,0.547,0.23,0.5405,0.5325,0.571,0.388,0.441,0.534,24
244,0.539,0.2725,0.529,0.5225,0.5455,0.3875,0.4385,0.531,342
245,0.5715,0.229,0.5735,0.555,0.5845,0.4245,0.4685,0.554,492
246,0.555,0.2335,0.5515,0.5585,0.582,0.4275,0.472,0.5575,642
247,0.536,0.259,0.5305,0.5205,0.552,0.37,0.4265,0.5085,535
248,0.5425,0.2465,0.5485,0.5345,0.573,0.405,0.458,0.5385,474
249,0.5505,0.244,0.556,0.5465,0.576,0.41,0.4615,0.546,729
250,0.5535,0.2365,0.5605,0.543,0.568,0.3935,0.455,0.5485,71
251,0.5455,0.2405,0.5385,0.535,0.5625,0.3905,0.4435,0.5335,989
252,0.5485,0.236,0.544,0.537,0.5595,0.3975,0.449,0.538,915
253,0.532,0.251,0.527,0.5315,0.5725,0.394,0.437,0.519,188
254,0.524,0.253,0.5205,0.522,0.5665,0.3955,0.4325,0.523,200
255,0.5485,0.245,0.5445,0.567,0.5945,0.416,0.4645,0.5505,110
256,0.5445,0.2515,0.5315,0.527,0.57,0.4005,0.4545,0.528,364
257,0.529,0.2615,0.521,0.5355,0.549,0.399,0.445,0.522,479
258,0.5425,0.246,0.542,0.5375,0.5715,0.3985,0.4375,0.532,229
259,0.532,0.2585,0.5355,0.5315,0.559,0.3925,0.4345,0.529,714
260,0.531,0.2425,0.519,0.5365,0.566,0.406,0.45,0.531,310
261,0.5625,0.244,0.5555,0.555,0.589,0.4075,0.458,0.548,203
262,0.534,0.2425,0.5255,0.5275,0.5645,0.3895,0.446,0.5215,808
263,0.5485,0.24,0.547,0.537,0.5725,0.398,0.4545,0.538,559
264,0.519,0.2465,0.526,0.5155,0.547,0.3855,0.4315,0.514,598
265,0.543,0.2355,0.5415,0.5455,0.576,0.416,0.4665,0.5365,18
266,0.5425,0.2365,0.5495,0.5445,0.575,0.417,0.4705,0.546,934
267,0.5395,0.25,0.535,0.5315,0.5675,0.4035,0.4535,0.5285,4
268,0.5395,0.258,0.5335,0.5195,0.5545,0.4005,0.4445,0.524,997
269,0.5495,0.241,0.5515,0.5385,0.58,0.411,0.4495,0.5405,701
270,0.547,0.233,0.5525,0.5525,0.586,0.4125,0.4675,0.5465,593
271,0.527,0.253,0.529,0.524,0.566,0.39,0.439,0.5145,621
272,0.5315,0.244,0.548,0.538,0.564,0.4095,0.455,0.53,912
273,0.544,0.238,0.5455,0.536,0.579,0.401,0.4535,0.529,309
274,0.5245,0.252,0.5345,0.5285,0.5515,0.401,0.4555,0.5345,514
275,0.5335,0.2535,0.5315,0.543,0.5695,0.3965,0.449,0.5375,238
276,0.564,0.2315,0.5485,0.5325,0.559,0.399,0.45,0.5345,609
277,0.5395,0.2435,0.544,0.5435,0.573,0.405,0.466,0.54,686
278,0.537,0.257,0.513,0.516,0.535,0.3715,0.438,0.52,907
279,0.5345,0.2505,0.541,0.539,0.5515,0.39,0.448,0.5335,951
280,0.5245,0.2565,0.523,0.5135,0.5435,0.3735,0.4255,0.517,143
281,0.5325,0.2435,0.5395,0.551,0.5815,0.413,0.4605,0.5425,319
282,0.5365,0.236,0.542,0.5585,0.585,0.4235,0.4775,0.552,453
283,0.5245,0.251,0.5275,0.5165,0.5425,0.396,0.4385,0.52,749
284,0.5455,0.2395,0.5415,0.5315,0.574,0.4135,0.4665,0.541,991
285,0.5345,0.2505,0.5255,0.538,0.567,0.415,0.4605,0.538,530
286,0.541,0.2375,0.535,0.5225,0.555,0.387,0.427,0.527,157
287,0.548,0.243,0.5515,0.545,0.569,0.3955,0.454,0.5405,485
288,0.5295,0.253,0.531,0.528,0.549,0.384,0.4195,0.531,656
289,0.5465,0.2545,0.547,0.534,0.5645,0.3865,0.4465,0.5365,619
290,0.563,0.2235,0.5655,0.5655,0.5935,0.406,0.4625,0.5655,967
291,0.5365,0.2305,0.537,0.543,0.58,0.403,0.4485,0.541,604
292,0.518,0.26,0.514,0.52,0.5555,0.3895,0.439,0.5205,250
293,0.527,0.254,0.53,0.531,0.5635,0.3925,0.44,0.532,914
294,0.5375,0.238,0.538,0.539,0.559,0.3955,0.4525,0.53,570
295,0.5565,0.249,0.56,0.5395,0.5645,0.4115,0.461,0.538,740
296,0.553,0.238,0.5405,0.5385,0.572,0.4025,0.452,0.5405,199
297,0.531,0.249,0.536,0.5295,0.5505,0.391,0.438,0.516,437
298,0.5435,0.2415,0.538,0.5455,0.577,0.398,0.4505,0.533,864
299,0.5325,0.253,0.5285,0.5315,0.564,0.3965,0.449,0.522,909
300,0.533,0.2485,0.52,0.5235,0.5485,0.368,0.4315,0.5185,392
301,0.561,0.226,0.5615,0.5495,0.5715,0.4315,0.4725,0.5505,38
302,0.5545,0.235,0.544,0.5375,0.573,0.393,0.447,0.5305,873
303,0.54,0.2365,0.5375,0.554,0.5845,0.4085,0.4585,0.557,187
304,0.5325,0.2295,0.525,0.5475,0.5655,0.399,0.447,0.5345,845
305,0.536,0.2585,0.5375,0.5445,0.569,0.397,0.4415,0.5245,62
306,0.556,0.2285,0.5615,0.564,0.588,0.418,0.458,0.5635,624
307,0.528,0.245,0.5405,0.538,0.568,0.401,0.447,0.5325,367
308,0.5375,0.2365,0.5425,0.547,0.562,0.393,0.442,0.5445,606
309,0.5225,0.237,0.53,0.542,0.567,0.4,0.457,0.529,225
310,0.5335,0.254,0.5335,0.533,0.571,0.405,0.453,0.53,336
311,0.552,0.23,0.558,0.543,0.579,0.3815,0.44,0.5465,140
312,0.5285,0.2375,0.537,0.522,0.566,0.386,0.434,0.523,895
313,0.541,0.26,0.533,0.532,0.549,0.402,0.4515,0.5265,234
314,0.538,0.244,0.543,0.536,0.5615,0.3985,0.4475,0.5235,691
315,0.54,0.255,0.5345,0.513,0.548,0.3795,0.4345,0.512,647
316,0.5395,0.2605,0.5235,0.5365,0.562,0.397,0.437,0.5295,356
317,0.53,0.2465,0.528,0.53,0.57,0.3915,0.4415,0.527,349
318,0.542,0.2535,0.536,0.523,0.5535,0.385,0.437,0.5225,575
319,0.531,0.2445,0.537,0.542,0.574,0.397,0.4495,0.5325,370
320,0.525,0.264,0.5255,0.507,0.546,0.3855,0.427,0.5,681
321,0.5455,0.2275,0.545,0.5425,0.574,0.4045,0.4615,0.544,284
322,0.561,0.237,0.5565,0.539,0.5785,0.4065,0.463,0.5475,660
323,0.526,0.2645,0.5255,0.517,0.549,0.377,0.4375,0.5135,37
324,0.535,0.2565,0.537,0.5345,0.5685,0.3915,0.443,0.5245,168
325,0.543,0.25,0.538,0.539,0.562,0.3895,0.4375,0.5355,68
326,0.5295,0.2555,0.524,0.5195,0.56,0.3915,0.437,0.5185,236
327,0.53,0.2505,0.5255,0.534,0.5525,0.379,0.4405,0.523,855
328,0.527,0.253,0.527,0.524,0.5605,0.397,0.463,0.5205,386
329,0.548,0.255,0.546,0.5445,0.5645,0.4005,0.4385,0.5385,648
330,0.5325,0.2465,0.5295,0.5265,0.5665,0.393,0.444,0.525,730
331,0.5165,0.2515,0.517,0.5125,0.558,0.392,0.443,0.5085,344
332,0.55,0.2545,0.5445,0.534,0.56,0.39,0.4435,0.531,128
333,0.5475,0.246,0.5595,0.557,0.5795,0.408,0.4645,0.5445,919
334,0.5275,0.2615,0.528,0.5325,0.562,0.3945,0.4505,0.53,205
335,0.555,0.229,0.553,0.5485,0.5825,0.422,0.4725,0.5465,424
336,0.5305,0.234,0.5295,0.5365,0.5785,0.4215,0.4635,0.5405,783
337,0.5305,0.2365,0.5355,0.536,0.554,0.3875,0.4395,0.5275,930
338,0.551,0.224,0.552,0.54,0.5715,0.4175,0.458,0.54,505
339,0.5235,0.242,0.528,0.5415,0.572,0.399,0.4535,0.5355,108
340,0.5495,0.2375,0.539,0.5285,0.551,0.4125,0.4595,0.536,176
341,0.527,0.2475,0.534,0.54,0.5685,0.421,0.465,0.543,675
342,0.545,0.2305,0.5505,0.536,0.567,0.389,0.44,0.529,260
343,0.541,0.23,0.546,0.5455,0.5755,0.3975,0.4665,0.542,968
