newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.5045,0.511,0.5,0.303,0.303,0.3245,0.3245,0.3165,378
0.5115,0.501,0.498,0.318,0.318,0.322,0.322,0.3315,357
0.4935,0.501,0.498,0.299,0.299,0.3155,0.3155,0.312,758
0.501,0.489,0.4835,0.3,0.3,0.2945,0.2945,0.307,92
0.493,0.489,0.491,0.337,0.337,0.345,0.345,0.336,735
0.488,0.508,0.5075,0.303,0.303,0.331,0.331,0.3155,676
0.5165,0.5225,0.523,0.3245,0.3245,0.34,0.34,0.347,555
0.5085,0.4945,0.492,0.3185,0.3185,0.325,0.325,0.332,655
0.49,0.5025,0.4995,0.3165,0.3165,0.33,0.33,0.3305,848
0.504,0.496,0.519,0.3275,0.3275,0.344,0.344,0.3275,17
0.487,0.499,0.503,0.301,0.301,0.307,0.307,0.3115,334
0.525,0.515,0.51,0.3295,0.3295,0.333,0.333,0.3345,731
0.483,0.5005,0.4965,0.319,0.319,0.3295,0.3295,0.3335,832
0.521,0.5135,0.5075,0.3065,0.3065,0.314,0.314,0.321,167
0.518,0.5015,0.507,0.3215,0.3215,0.335,0.335,0.35,301
0.5165,0.4845,0.512,0.3255,0.3255,0.3415,0.3415,0.3405,969
0.491,0.4605,0.4795,0.3225,0.3225,0.3375,0.3375,0.337,623
0.521,0.486,0.5,0.307,0.307,0.333,0.333,0.315,962
0.515,0.519,0.519,0.3055,0.3055,0.3215,0.3215,0.326,145
0.505,0.4965,0.501,0.3055,0.3055,0.313,0.313,0.3195,871
0.487,0.482,0.491,0.3105,0.3105,0.3155,0.3155,0.3195,101
0.5025,0.502,0.512,0.318,0.318,0.339,0.339,0.3245,119
0.493,0.5145,0.5095,0.317,0.317,0.3405,0.3405,0.327,702
0.514,0.5,0.5055,0.305,0.305,0.317,0.317,0.332,54
0.5045,0.4985,0.4835,0.3235,0.3235,0.3375,0.3375,0.339,365
0.5075,0.498,0.51,0.306,0.306,0.3315,0.3315,0.324,61
0.4695,0.5095,0.4775,0.3205,0.3205,0.334,0.334,0.342,67
0.5125,0.502,0.512,0.3485,0.3485,0.347,0.347,0.347,511
0.5075,0.4955,0.4955,0.312,0.312,0.323,0.323,0.3145,684
0.493,0.4925,0.4905,0.2995,0.2995,0.3145,0.3145,0.3205,109
0.484,0.509,0.4895,0.311,0.311,0.3115,0.3115,0.3155,176
0.511,0.5185,0.505,0.328,0.328,0.336,0.336,0.3355,891
0.4945,0.511,0.5,0.3085,0.3085,0.3115,0.3115,0.326,791
