newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.3525,0.629,0.3315,0.2925,0.315,0.246,0.257,0.283,303
0.348,0.6305,0.329,0.292,0.314,0.254,0.2605,0.288,606
0.339,0.63,0.324,0.2895,0.315,0.253,0.257,0.2875,744
0.3565,0.626,0.336,0.305,0.3235,0.261,0.27,0.292,501
0.354,0.6215,0.3385,0.2995,0.3135,0.2475,0.2625,0.2845,93
0.3535,0.614,0.3365,0.2995,0.3265,0.262,0.264,0.2975,784
0.343,0.62,0.327,0.296,0.3235,0.266,0.276,0.2975,721
0.358,0.6115,0.3435,0.313,0.3355,0.2585,0.273,0.303,55
0.3355,0.627,0.3185,0.2905,0.3125,0.247,0.2525,0.2845,18
0.358,0.626,0.342,0.298,0.3105,0.2495,0.2595,0.2885,231
0.3385,0.6045,0.3345,0.309,0.3395,0.266,0.2745,0.2955,450
0.339,0.6235,0.316,0.283,0.3135,0.248,0.258,0.286,70
0.3505,0.614,0.3365,0.2985,0.3235,0.251,0.267,0.297,503
0.331,0.648,0.315,0.284,0.308,0.2505,0.2585,0.2765,299
0.35,0.631,0.33,0.2925,0.3245,0.2545,0.2645,0.2885,24
0.3485,0.5835,0.342,0.317,0.347,0.29,0.2995,0.317,105
0.352,0.5925,0.338,0.311,0.3385,0.2675,0.2785,0.306,790
0.373,0.6105,0.3555,0.2995,0.3195,0.256,0.2705,0.2855,104
0.364,0.6195,0.354,0.3035,0.329,0.2675,0.2695,0.2965,902
0.3465,0.5935,0.3305,0.299,0.3285,0.2705,0.273,0.297,581
0.338,0.609,0.326,0.296,0.3135,0.255,0.26,0.282,136
0.3495,0.6135,0.322,0.2915,0.319,0.2555,0.2685,0.2945,114
0.3565,0.613,0.3345,0.301,0.3195,0.2565,0.2595,0.2895,966
0.35,0.6065,0.341,0.296,0.3275,0.264,0.2665,0.2955,611
0.361,0.5985,0.342,0.31,0.3365,0.2645,0.28,0.308,431
0.3435,0.646,0.3285,0.2875,0.3125,0.2485,0.25,0.282,644
0.3185,0.6355,0.3115,0.2805,0.3135,0.251,0.252,0.277,597
0.346,0.6155,0.325,0.286,0.3105,0.2405,0.2545,0.2865,847
0.349,0.5935,0.3255,0.2955,0.318,0.2545,0.266,0.286,578
0.346,0.613,0.3415,0.3085,0.3285,0.251,0.2745,0.3015,816
0.351,0.613,0.339,0.318,0.337,0.259,0.275,0.3045,141
0.346,0.616,0.336,0.2935,0.3225,0.252,0.263,0.287,378
0.346,0.606,0.324,0.305,0.327,0.2615,0.2665,0.2985,357
0.3735,0.608,0.353,0.3,0.3215,0.2605,0.271,0.2985,758
0.36,0.595,0.3495,0.315,0.343,0.2595,0.272,0.305,92
0.3635,0.618,0.349,0.292,0.3295,0.2535,0.27,0.289,735
0.3405,0.6375,0.3195,0.27,0.3025,0.239,0.24,0.26,676
0.354,0.615,0.335,0.302,0.319,0.255,0.266,0.295,555
0.342,0.6195,0.3415,0.3085,0.336,0.2655,0.2735,0.3015,655
0.347,0.632,0.3345,0.298,0.307,0.252,0.2625,0.2875,848
0.3495,0.6125,0.3325,0.31,0.3345,0.2515,0.2675,0.304,17
0.3255,0.6135,0.309,0.2775,0.309,0.241,0.2465,0.2725,334
0.355,0.608,0.3385,0.2985,0.317,0.247,0.264,0.2915,731
0.3305,0.63,0.312,0.2985,0.3305,0.242,0.255,0.2905,832
0.3565,0.615,0.3385,0.302,0.3185,0.246,0.2575,0.288,167
0.342,0.6415,0.321,0.282,0.3015,0.239,0.2455,0.279,301
0.3505,0.626,0.329,0.3065,0.337,0.261,0.264,0.3005,969
0.328,0.6235,0.315,0.2955,0.3195,0.2555,0.262,0.2855,623
0.3305,0.632,0.3235,0.283,0.311,0.24,0.249,0.278,962
0.341,0.6285,0.3245,0.2875,0.311,0.246,0.2575,0.2795,145
0.363,0.6215,0.346,0.2895,0.3245,0.2595,0.2655,0.2885,871
0.343,0.632,0.322,0.2795,0.31,0.2405,0.246,0.2765,101
0.335,0.638,0.3235,0.2965,0.3205,0.2585,0.269,0.291,119
0.346,0.618,0.335,0.2915,0.3065,0.257,0.2615,0.2825,702
0.3525,0.6175,0.3355,0.3035,0.337,0.2625,0.2685,0.297,54
0.3415,0.6275,0.3175,0.291,0.3125,0.2595,0.2575,0.2865,365
0.3275,0.617,0.3115,0.282,0.3035,0.2505,0.2615,0.2725,61
