580 Tim Rogers
581 Bin Wu
582 Shanjun Mao
583 Jiazeng Wang
584 Da Zhou
585 Remco van der Hofstad
586 Kihong Chung
587 Yongjoo Baek
588 Zong-Wen Wei
589 Bing-Hong Wang
590 Pedro J. Martínez
591 Ricardo Chacón
592 Flavia Tavani
593 Elena Agliari
594 Michele Starnini
595 Christoph Norrenbrock
596 Oliver Melchert
597 Ping Li
598 Xian Sun
599 Kai Zhang
600 Jie Zhang
601 Gianbiagio Curato
602 Fabrizio Lillo
603 Junsang Park
604 Sang Geun Hahn
605 Roberto Franzosi
606 Domenico Felice
607 Stefano Mancini
608 Marco Pettini
609 A. A. Snarskiı̆
610 Igor V. Bezsudnov
611 Xiangrong Wang
612 Robert E. Kooij
613 Dunbiao Niu
614 Minhui Du
615 Kanghun Kim
616 Jaegu Kyoung
617 Andrew K. Rose
618 Reuben D. O’Dea
619 K. I. Hopcraft
620 Saikat Guha
621 Don Towsley
622 Philippe Nain
623 Çağatay Çapar
624 Ananthram Swami
625 Prithwish Basu
626 Ali Faqeeh
627 Alfonso Allen‐Perkins
628 Javier Galeano
629 Juan Manuel Pastor
630 Shogo Mizutaka
631 Toshihiro Tanizawa
632 César Parra‐Rojas
633 Thomas House
634 Alan J. McKane
635 Wes Viles
636 Cedric E. Ginestet
637 Ariana Tang
638 Mark Kramer
639 Eric D. Kolaczyk
640 Shao-Meng Qin
641 Ying Zeng
642 Somwrita Sarkar
643 Sanjay Chawla
644 P. A. Robinson
645 Babak Fotouhi
646 Mehrdad Khani Shirkoohi
647 Chen Qu
648 Qian Jiang-Hai
649 Liang Zhu
650 Dingding Han
651 Per Sebastian Skardal
652 Kirsti Wash
653 Yang Yang
654 Shunsuke Watanabe
655 Hyung-Ha Yoo
656 Steffen Karalus
657 Joachim Krug
658 Ewan Colman
659 Nathaniel Charlton
660 Nathan Eagle
661 Alex Pentland
662 David Lazer
663 Sinan Aral
664 Lev Muchnik
665 Arun Sundararajan
666 Alessandro Vespignani
667 Peter J. Bickel
668 Aiyou Chen
669 Paolo Pin
670 Matteo Marsili
671 Aurélien Gautreau
672 Andrea Baldassarri
673 Grégory Schehr
674 Vittorio Loreto
675 Hao Hu
676 Steven Myers
677 Vittoria Colizza
678 J. G. Oliveira
679 Raj Rao Nadakuditi
680 Wei Li
681 Amir Bashan
682 Richard G. Morris
683 Delia Mocanu
684 Bruno Gonçalves
685 Sungmin Hwang
686 Endre Csóka
687 Stefan Bornholdt
688 Yang Yang
689 Jianhui Wang
690 Adilson E. Motter
691 Wataru Miura
692 Hideki Takayasu
693 Misako Takayasu
