newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-0.11891595865706857,-0.024211363431953358,-0.15442286621216986,-0.2532210274894016,-0.15429354324495478,-0.8662104753363047,-0.6287772568082264,-0.2973837264445242,93,0.6918
-0.02915584888417984,-0.002087731871590094,-0.01891789236720217,-0.012771426193019022,-0.025488984614956262,-0.7497222267943641,-0.7157076988981744,-7.237454497999764,243,0.0145
-0.11695860191092353,-0.028193823065017384,-0.14677839784492133,-0.22562663876325692,-0.13588268044402552,-0.90780126444371,-0.6169516051306432,-0.3267890642160838,72,0.5754
-0.10530317730953816,-0.009493635605648901,-0.0684376073595894,-0.06273805346585451,-0.02594828666720371,-3.804032125819209,-3.5824266883952927,-7.836442563208637,5,0.0912
-0.11064295316302988,-0.021741279068428772,-0.1498898617412392,-0.27103575617030545,-0.15238385148362146,-0.9081190692667795,-0.6390191747372221,-0.30074169126727296,141,0.6918
-0.018690312792929178,-0.0026668447881828777,-0.011189240675400064,-0.007427841017180549,0.0006909986939249802,-0.4828921857652642,-0.4602441918341433,-5.197237112531252,142,0.0100
-0.1285339075847515,-0.010291737358450348,-0.08526730235805177,-0.07354873411393503,-0.020825849035286385,-3.6729143928280577,-3.71501207088921,-8.311407431880095,43,0.0912
-0.14905497256677722,-0.022741403976755732,-0.1295840288041808,-0.16124816524949623,-0.09003254804150775,-2.0395104190194884,-1.6482241488415577,-1.5494491491665359,21,0.2754
-0.12577335946276108,-0.02494095239986425,-0.11014818219253154,-0.15223068572949958,-0.07851079504041317,-2.26207861746596,-1.8724873336555117,-1.5267999837644561,33,0.2754
-0.03554129542823233,-0.003915842681255772,-0.021008953573479244,-0.01496985699514426,-0.004997403758040212,-1.1313064670389354,-1.0794061458158897,-8.752901922296898,141,0.0209
-0.11871216591606162,-0.029175001591492677,-0.15758229663034903,-0.25969648899000347,-0.13542650577966017,-0.8339891373861709,-0.621704411813942,-0.2969787670706805,246,0.8318
-0.035267832510017305,-0.003993035460338025,-0.02118737934440498,-0.010668550634325357,-0.0025463959317913536,-0.9093365628468255,-1.0420993138736119,-7.885358469198736,2,0.0174
-0.1475755216165986,-0.022125407088999856,-0.1101245311366439,-0.1148929889364296,-0.0544009700599208,-3.182061831998579,-2.8314958620627926,-3.2121962894735683,105,0.1905
-0.1568767584747698,-0.01398341117043376,-0.11746864289173764,-0.11973931821394598,-0.05108947193733879,-3.7503476093422354,-3.4140203391565094,-4.258281218150611,226,0.1585
-0.08857180991291205,-0.008206158276077747,-0.05617709208057252,-0.031979502540124105,-0.007661313467241858,-2.491351263139744,-2.3820696252289086,-10.317228534162908,22,0.0437
-0.1072007522993183,-0.012802901781306513,-0.06780749374317761,-0.04742114147254224,-0.015089963778623993,-3.351947234428633,-3.1646378088084752,-9.352676096581483,18,0.0759
-0.04863348261687436,-0.004503158603227292,-0.030863746166786575,-0.021614066237003272,-0.0075971589380627955,-1.1625813477350935,-1.1157597828657793,-8.564555074373109,238,0.0209
-0.025311318888692185,-0.002771800137351552,-0.015234327793583248,-0.01561811509576765,-0.0016399761160732149,-0.7587559974077915,-0.7259450396597391,-6.948803979047215,207,0.0145
-0.14889299164824693,-0.016817507161617142,-0.11512075418458802,-0.11824235854667142,-0.051153106773364695,-3.208340938338857,-2.854763866283966,-3.1352670949033348,165,0.1905
-0.11557743298548184,-0.02433470527906516,-0.13470598706788936,-0.2188363411322321,-0.1040106325611409,-1.1323782751738725,-0.7986211280992899,-0.4685679716385486,178,0.4786
-0.12049313183072126,-0.027361438091313074,-0.1536076933406236,-0.24657199718852701,-0.11674517798692105,-0.896225084369868,-0.6131924588340558,-0.35735821715296784,222,0.5754
-0.08757073486821212,-0.026034208343769565,-0.1241985862296117,-0.23173002447934643,-0.1460233828209004,-0.8531598358906918,-0.5914458168659646,-0.2561387883089502,78,0.6918
-0.018522502695899216,-0.0010816044031013796,-0.011993624459738549,-0.008708925970369263,-0.004503721486010135,-0.5166892516460105,-0.4914866414761688,-4.995134314546083,138,0.0100
-0.14456671766244283,-0.0145132547749753,-0.10199887922648011,-0.10386028113583548,-0.03174572359239008,-3.915867969618807,-3.612384071887485,-5.5973609604611365,71,0.1318
-0.13948908308193136,-0.012668767709222047,-0.14486112591795602,-0.20537895382298804,-0.10042941725430303,-1.4657686964110328,-1.1987391647380243,-1.053474685413783,73,0.3311
-0.1293280549183165,-0.016046776315872348,-0.08364395075648252,-0.07390993534075384,-0.023016285756916038,-3.7438611059121234,-3.471212958166616,-7.218657692151379,41,0.1096
