HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-1.89863,-1.44275,-1.82192,-1.45968,1000,14384,10,1,26
-1.91993,-1.45748,-1.84488,-1.45933,1000,61584,10,1,31
-1.4055,-1.41298,-1.40578,-1.41651,1000,61584,10,0,1
-1.79854,-1.57652,-1.73796,-1.65991,1000,1274,8,1,31
-1.89085,-1.37354,-1.80679,-1.3779,1000,23357,10,1,37
-0.882237,-0.967037,-0.882475,-0.972732,1000,4281,4,0,12
-1.25333,-1.37177,-1.2522,-1.41614,1000,2069,6,0,8
-0.846628,-0.853284,-0.847109,-0.853676,1000,78475,4,0,25
-0.858415,-0.864692,-0.858588,-0.865975,1000,48329,4,0,24
-0.483812,-0.483812,-0.483812,-0.483812,1000,6951,2,1,3
-1.38492,-1.40034,-1.38483,-1.40371,1000,29763,10,0,24
-1.96883,-1.51977,-1.88936,-1.54066,1000,14384,10,1,18
-1.11048,-1.15743,-1.11157,-1.17504,1000,8858,6,0,13
-1.39614,-1.11077,-1.33978,-1.11341,1000,37926,6,1,30
-1.67523,-1.26083,-1.60348,-1.2623,1000,78475,8,1,4
-0.604143,-0.604143,-0.604143,-0.604143,1000,2069,2,1,32
-1.09503,-1.1097,-1.09549,-1.11128,1000,29763,6,0,32
-0.562163,-0.562163,-0.562163,-0.562163,1000,3359,2,0,39
-1.40433,-1.41373,-1.40475,-1.41934,1000,37926,10,0,15
-0.423457,-0.423457,-0.423457,-0.423457,1000,78475,2,0,42
-1.39233,-1.12403,-1.33757,-1.13445,1000,11288,6,1,16
-0.442456,-0.442456,-0.442456,-0.442456,1000,18329,2,0,44
-1.40099,-1.11647,-1.34734,-1.1169,1000,100000,6,1,12
-0.458857,-0.458857,-0.458857,-0.458857,1000,8858,2,1,29
-1.02738,-0.888318,-0.994537,-0.892948,1000,18329,4,1,35
-1.94375,-1.58587,-1.87351,-1.65289,1000,1274,10,1,3
-0.975663,-0.820912,-0.941712,-0.823735,1000,18329,4,1,30
-1.63856,-1.43706,-1.60781,-1.46993,1000,1274,6,1,15
-1.37641,-1.08973,-1.32228,-1.09129,1000,61584,6,1,31
-0.902886,-0.960957,-0.904016,-0.970977,1000,4281,4,0,1
-1.44757,-1.45577,-1.44754,-1.45807,1000,61584,10,0,31
-1.09481,-1.10491,-1.09506,-1.10592,1000,48329,6,0,8
-1.27445,-1.31877,-1.27572,-1.33767,1000,8858,8,0,22
-1.37648,-1.53612,-1.37817,-1.58776,1000,1623,8,0,38
-1.47893,-1.51478,-1.47934,-1.52986,1000,14384,10,0,5
-1.71056,-1.30534,-1.64076,-1.30558,1000,100000,8,1,1
-0.583982,-0.583982,-0.583982,-0.583982,1000,1623,2,1,21
-1.74518,-1.45019,-1.67622,-1.48228,1000,2069,8,1,43
-1.4104,-1.16311,-1.3561,-1.17836,1000,8858,6,1,1
-1.94482,-1.49829,-1.86479,-1.51742,1000,6951,10,1,43
-1.41497,-1.11715,-1.35971,-1.11764,1000,61584,6,1,1
-0.602864,-0.602864,-0.602864,-0.602864,1000,1623,2,0,29
-1.09781,-1.12553,-1.09817,-1.13527,1000,14384,6,0,25
-0.867697,-0.880482,-0.86821,-0.882183,1000,23357,4,0,33
-1.96544,-1.61133,-1.89427,-1.65312,1000,2069,10,1,9
-0.516118,-0.516118,-0.516118,-0.516118,1000,6951,2,0,17
-0.572248,-0.572248,-0.572248,-0.572248,1000,2069,2,0,47
-1.70943,-1.34019,-1.64244,-1.35092,1000,14384,8,1,46
-1.88588,-1.38751,-1.80554,-1.39715,1000,23357,10,1,44
-1.05741,-1.11284,-1.06692,-1.12257,1000,1623,4,0,42
-0.996999,-0.844114,-0.962886,-0.844774,1000,23357,4,1,0
-1.95008,-1.4561,-1.86902,-1.45812,1000,48329,10,1,28
-1.40173,-1.11648,-1.34882,-1.11855,1000,48329,6,1,1
-1.14656,-1.21822,-1.1495,-1.24372,1000,3359,6,0,34
-1.72576,-1.35906,-1.65571,-1.37739,1000,8858,8,1,12
-2.00338,-1.65909,-1.9386,-1.73385,1000,1000,10,1,9
-1.68832,-1.28988,-1.61647,-1.29952,1000,18329,8,1,0
-1.09707,-1.05247,-1.07272,-1.07198,1000,2636,4,1,38
-1.39528,-1.13241,-1.34278,-1.14006,1000,18329,6,1,14
-1.29281,-1.29747,-1.29298,-1.29879,1000,100000,8,0,23
-1.39502,-1.45226,-1.39728,-1.47044,1000,6951,10,0,36
-1.03263,-0.891638,-0.998174,-0.895675,1000,14384,4,1,34
-1.66956,-1.33332,-1.59486,-1.36334,1000,3359,8,1,37
-0.636741,-0.636741,-0.636741,-0.636741,1000,1274,2,0,10
-1.12318,-0.992216,-1.08759,-1.01598,1000,3359,4,1,27
-1.39162,-1.08878,-1.33465,-1.08942,1000,61584,6,1,40
-0.442453,-0.442453,-0.442453,-0.442453,1000,29763,2,1,43
-1.37321,-1.05409,-1.3152,-1.05579,1000,37926,6,1,4
-1.46436,-1.52209,-1.46484,-1.54363,1000,6951,10,0,48
-0.480146,-0.480146,-0.480146,-0.480146,1000,8858,2,1,8
-1.70286,-1.32457,-1.63672,-1.32799,1000,48329,8,1,43
-0.416932,-0.416932,-0.416932,-0.416932,1000,78475,2,1,20
-1.31355,-1.32313,-1.31414,-1.32507,1000,61584,8,0,17
-0.473605,-0.473605,-0.473605,-0.473605,1000,11288,2,1,45
-1.89324,-1.41122,-1.8175,-1.41724,1000,14384,10,1,27
-1.11546,-1.04587,-1.09319,-1.07112,1000,2636,4,1,19
-1.90942,-1.51507,-1.83346,-1.53875,1000,5455,10,1,19
-0.421027,-0.421027,-0.421027,-0.421027,1000,78475,2,1,37
-1.0884,-1.09811,-1.08863,-1.099,1000,61584,6,0,36
-1.45415,-1.46119,-1.45424,-1.46307,1000,78475,10,0,3
-1.10918,-1.12769,-1.1101,-1.13222,1000,23357,6,0,41
-1.15674,-1.06218,-1.14276,-1.07609,1000,1623,4,1,25
-1.92731,-1.44091,-1.84667,-1.44277,1000,78475,10,1,35
-1.94814,-1.4974,-1.85895,-1.53957,1000,3359,10,1,2
-1.438,-1.1505,-1.37621,-1.15832,1000,6951,6,1,3
-0.415365,-0.415365,-0.415365,-0.415365,1000,61584,2,1,7
-2.03635,-1.68978,-1.99017,-1.75479,1000,1000,10,1,47
-1.40852,-1.1356,-1.35459,-1.13839,1000,23357,6,1,1
-0.43478,-0.43478,-0.43478,-0.43478,1000,23357,2,1,17
-1.93804,-1.51783,-1.8495,-1.56322,1000,2636,10,1,1
-1.41922,-1.14316,-1.36693,-1.14411,1000,100000,6,1,30
-0.441181,-0.441181,-0.441181,-0.441181,1000,18329,2,0,31
-1.40504,-1.41983,-1.40538,-1.42477,1000,37926,10,0,34
-1.32907,-1.33625,-1.32929,-1.33722,1000,78475,8,0,4
-1.69017,-1.28842,-1.61844,-1.29203,1000,37926,8,1,45
-0.878408,-0.919592,-0.882312,-0.933858,1000,8858,4,0,24
-1.9805,-1.56725,-1.90653,-1.59123,1000,8858,10,1,1
-1.35585,-1.50126,-1.36531,-1.56816,1000,1623,10,0,49
-0.948412,-1.03762,-0.956989,-1.06279,1000,2636,4,0,35
-1.10698,-0.975405,-1.06475,-0.981858,1000,2636,4,1,43
-1.34786,-1.35577,-1.34811,-1.35716,1000,78475,10,0,13
-1.29985,-1.36617,-1.3044,-1.39169,1000,5455,8,0,46
-1.07487,-1.15502,-1.07338,-1.16085,1000,4281,6,0,18
-1.56392,-1.47404,-1.54634,-1.55329,1000,1000,6,1,37
-1.00253,-0.834554,-0.966282,-0.8351,1000,61584,4,1,39
-1.71209,-1.34845,-1.64341,-1.36008,1000,11288,8,1,20
-1.36626,-1.40973,-1.36774,-1.42589,1000,8858,8,0,44
-1.00705,-0.854952,-0.973575,-0.855557,1000,48329,4,1,33
-1.67496,-1.28012,-1.60903,-1.28134,1000,100000,8,1,31
-1.65138,-1.25105,-1.5832,-1.25264,1000,37926,8,1,42
-1.93106,-1.44089,-1.85274,-1.44196,1000,78475,10,1,10
-1.52694,-1.60926,-1.52951,-1.65505,1000,4281,10,0,0
-1.04877,-1.06345,-1.04887,-1.06594,1000,29763,6,0,14
-1.32865,-1.38231,-1.33352,-1.41834,1000,6951,8,0,27
-1.28877,-1.3024,-1.28936,-1.30516,1000,48329,8,0,8
-1.28549,-1.29877,-1.28618,-1.30074,1000,37926,8,0,23
-1.02607,-0.882941,-0.993399,-0.884322,1000,37926,4,1,43
-1.73229,-1.48636,-1.67212,-1.5325,1000,2069,8,1,3
-1.41622,-1.43674,-1.41701,-1.44283,1000,23357,10,0,4
-1.42779,-1.14718,-1.37166,-1.15156,1000,23357,6,1,41
-1.7001,-1.36775,-1.63138,-1.40061,1000,5455,8,1,41
-1.02924,-0.885066,-0.99708,-0.885147,1000,100000,4,1,42
-0.415224,-0.415224,-0.415224,-0.415224,1000,48329,2,1,2
-1.27255,-1.30878,-1.27234,-1.32429,1000,11288,8,0,34
-1.42427,-1.48932,-1.42275,-1.51011,1000,5455,10,0,39
-1.01018,-0.854389,-0.975594,-0.855069,1000,48329,4,1,10
-1.02878,-0.899905,-0.995241,-0.902165,1000,11288,4,1,2
-1.70328,-1.32079,-1.63847,-1.32134,1000,100000,8,1,16
-1.35695,-1.364,-1.35705,-1.36532,1000,78475,10,0,47
-1.04618,-0.934346,-1.01043,-0.94413,1000,4281,4,1,46
-0.904123,-0.923216,-0.905331,-0.92728,1000,23357,4,0,28
-0.43014,-0.43014,-0.43014,-0.43014,1000,100000,2,1,21
-0.992219,-1.14797,-0.994445,-1.1644,1000,1000,4,0,33
-1.41115,-1.12492,-1.35333,-1.13076,1000,14384,6,1,19
-0.925497,-0.978627,-0.926422,-0.992662,1000,3359,4,0,46
-1.43256,-1.22196,-1.38033,-1.24214,1000,5455,6,1,2
-1.02257,-0.878271,-0.98736,-0.88361,1000,14384,4,1,6
-0.613372,-0.613372,-0.613372,-0.613372,1000,1623,2,0,48
-1.00029,-0.840276,-0.965176,-0.841339,1000,61584,4,1,37
-1.76996,-1.47108,-1.70416,-1.5137,1000,4281,8,1,30
-0.418179,-0.418179,-0.418179,-0.418179,1000,78475,2,0,36
-0.828454,-0.834803,-0.828586,-0.834901,1000,61584,4,0,11
-0.890223,-0.938647,-0.891525,-0.947215,1000,4281,4,0,31
-1.13061,-1.19903,-1.13863,-1.22163,1000,3359,6,0,36
-1.51719,-1.73725,-1.52623,-1.81169,1000,1623,10,0,41
-1.40792,-1.51194,-1.40892,-1.51935,1000,3359,10,0,8
-0.5392,-0.5392,-0.5392,-0.5392,1000,6951,2,1,33
-0.979571,-1.04864,-0.977286,-1.04881,1000,1000,4,0,41
-1.5147,-1.74159,-1.50808,-1.81983,1000,1000,10,0,27
-1.39332,-1.53671,-1.39521,-1.59189,1000,1623,10,0,0
-1.23858,-1.11039,-1.23189,-1.12475,1000,1274,4,1,40
-1.4022,-1.12461,-1.34744,-1.12889,1000,23357,6,1,32
-0.824759,-0.833408,-0.825275,-0.833906,1000,61584,4,0,45
-1.23373,-1.38784,-1.23554,-1.43556,1000,1274,8,0,22
-1.08831,-1.09431,-1.08847,-1.09475,1000,78475,6,0,48
-0.62993,-0.62993,-0.62993,-0.62993,1000,1000,2,1,32
-1.13412,-1.17317,-1.1363,-1.18745,1000,11288,6,0,42
-1.34119,-1.43778,-1.34267,-1.48488,1000,4281,8,0,0
-1.93476,-1.43086,-1.85442,-1.43214,1000,78475,10,1,49
-1.93016,-1.4807,-1.85413,-1.49436,1000,6951,10,1,14
-0.879601,-0.903835,-0.879889,-0.909962,1000,11288,4,0,8
-0.631562,-0.631562,-0.631562,-0.631562,1000,1000,2,1,8
-1.45045,-1.20826,-1.38753,-1.21347,1000,4281,6,1,45
-1.99935,-1.70042,-1.92993,-1.78946,1000,2069,10,1,12
-1.10198,-1.10588,-1.10179,-1.10697,1000,78475,6,0,1
-1.43089,-1.43778,-1.43116,-1.43934,1000,78475,10,0,20
-0.564813,-0.564813,-0.564813,-0.564813,1000,4281,2,0,5
-1.7064,-1.31961,-1.63666,-1.33224,1000,14384,8,1,14
-1.08726,-0.971969,-1.05221,-0.980643,1000,3359,4,1,25
-1.4132,-1.12868,-1.35657,-1.13327,1000,23357,6,1,28
-1.31924,-1.35149,-1.31977,-1.35954,1000,14384,8,0,26
-1.68734,-1.29877,-1.62136,-1.29893,1000,61584,8,1,47
-0.418839,-0.418839,-0.418839,-0.418839,1000,48329,2,0,6
-1.43844,-1.16453,-1.38476,-1.16649,1000,48329,6,1,39
-1.13071,-1.02339,-1.10201,-1.02635,1000,1623,4,1,24
-0.457455,-0.457455,-0.457455,-0.457455,1000,11288,2,0,27
-0.433294,-0.433294,-0.433294,-0.433294,1000,29763,2,1,17
-1.00863,-0.856867,-0.975617,-0.857929,1000,78475,4,1,10
-1.75243,-1.38749,-1.68542,-1.39808,1000,14384,8,1,13
-0.42263,-0.42263,-0.42263,-0.42263,1000,78475,2,0,32
-1.24849,-1.25406,-1.24851,-1.25465,1000,100000,8,0,49
-0.50244,-0.50244,-0.50244,-0.50244,1000,5455,2,1,35
-0.41755,-0.41755,-0.41755,-0.41755,1000,100000,2,0,16
-0.854081,-0.867053,-0.855022,-0.869116,1000,29763,4,0,10
-0.416352,-0.416352,-0.416352,-0.416352,1000,29763,2,1,41
-1.96506,-1.46999,-1.88468,-1.47077,1000,100000,10,1,12
-1.34263,-1.36089,-1.34242,-1.35983,1000,29763,8,0,25
-0.420469,-0.420469,-0.420469,-0.420469,1000,48329,2,1,20
-1.2991,-1.36266,-1.30327,-1.40989,1000,5455,8,0,35
-1.17718,-1.28628,-1.17651,-1.31544,1000,1623,6,0,12
-1.53852,-1.30049,-1.49532,-1.31651,1000,1623,6,1,10
-1.09698,-1.10446,-1.0975,-1.10547,1000,61584,6,0,49
-1.89268,-1.38397,-1.80858,-1.38483,1000,61584,10,1,36
-1.58385,-1.38433,-1.53995,-1.40737,1000,1623,6,1,3
