HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-14.9134,-19.3171,-14.9489,-21.7766,1000,14384,10,1,26
-14.8658,-19.788,-14.8871,-20.7563,1000,61584,10,1,31
-10.7154,-10.9678,-10.7193,-11.1231,1000,61584,10,0,1
-11.1358,-12.0543,-11.3491,-14.0259,1000,1274,8,1,31
-14.8605,-19.9246,-14.8864,-22.1604,1000,23357,10,1,37
-2.16721,-2.38311,-2.16985,-2.41502,1000,4281,4,0,12
-4.85031,-5.47596,-4.86582,-5.69224,1000,2069,6,0,8
-2.07569,-2.10313,-2.07676,-2.10541,1000,78475,4,0,25
-2.0925,-2.12197,-2.09311,-2.13025,1000,48329,4,0,24
-0.483812,-0.483812,-0.483812,-0.483812,1000,6951,2,1,3
-10.7911,-11.238,-10.7943,-11.5779,1000,29763,10,0,24
-14.9676,-19.3168,-14.9991,-21.6786,1000,14384,10,1,18
-4.47754,-4.82822,-4.48424,-4.94302,1000,8858,6,0,13
-6.3264,-8.13675,-6.33744,-8.56731,1000,37926,6,1,30
-10.3497,-13.8369,-10.3659,-14.4582,1000,78475,8,1,4
-0.604143,-0.604143,-0.604143,-0.604143,1000,2069,2,1,32
-4.5355,-4.69029,-4.54104,-4.73625,1000,29763,6,0,32
-0.562163,-0.562163,-0.562163,-0.562163,1000,3359,2,0,39
-10.8258,-11.1729,-10.8297,-11.3377,1000,37926,10,0,15
-0.423457,-0.423457,-0.423457,-0.423457,1000,78475,2,0,42
-6.3794,-7.8368,-6.39365,-8.59864,1000,11288,6,1,16
-0.442456,-0.442456,-0.442456,-0.442456,1000,18329,2,0,44
-6.31613,-8.14898,-6.32667,-8.3518,1000,100000,6,1,12
-0.458857,-0.458857,-0.458857,-0.458857,1000,8858,2,1,29
-2.95882,-3.52458,-2.96928,-3.7082,1000,18329,4,1,35
-15.5679,-17.0509,-15.7526,-20.0847,1000,1274,10,1,3
-2.92205,-3.47312,-2.92827,-3.64958,1000,18329,4,1,30
-6.85625,-6.94913,-6.98761,-7.61978,1000,1274,6,1,15
-6.30385,-8.06912,-6.31377,-8.32825,1000,61584,6,1,31
-2.15887,-2.38526,-2.16958,-2.42846,1000,4281,4,0,1
-10.9418,-11.1453,-10.9435,-11.2587,1000,61584,10,0,31
-4.46154,-4.56258,-4.46342,-4.59499,1000,48329,6,0,8
-7.47796,-8.07853,-7.48978,-8.43857,1000,8858,8,0,22
-7.93869,-9.33528,-8.02775,-10.029,1000,1623,8,0,38
-10.788,-11.578,-10.7994,-12.1109,1000,14384,10,0,5
-10.3768,-14.0437,-10.3962,-14.5888,1000,100000,8,1,1
-0.583982,-0.583982,-0.583982,-0.583982,1000,1623,2,1,21
-10.6383,-12.0097,-10.6945,-13.9347,1000,2069,8,1,43
-6.40366,-7.79674,-6.42267,-8.68584,1000,8858,6,1,1
-14.9791,-18.6978,-15.006,-21.8034,1000,6951,10,1,43
-6.33336,-8.3085,-6.34605,-8.67998,1000,61584,6,1,1
-0.602864,-0.602864,-0.602864,-0.602864,1000,1623,2,0,29
-4.55422,-4.80858,-4.55843,-4.93195,1000,14384,6,0,25
-2.13385,-2.19049,-2.13638,-2.20089,1000,23357,4,0,33
-15.4139,-18.0234,-15.5422,-21.4308,1000,2069,10,1,9
-0.516118,-0.516118,-0.516118,-0.516118,1000,6951,2,0,17
-0.572248,-0.572248,-0.572248,-0.572248,1000,2069,2,0,47
-10.3913,-13.2446,-10.416,-14.7197,1000,14384,8,1,46
-14.8408,-19.4595,-14.8611,-21.5281,1000,23357,10,1,44
-2.51356,-2.75552,-2.54065,-2.81094,1000,1623,4,0,42
-2.92866,-3.50771,-2.93623,-3.66542,1000,23357,4,1,0
-14.9031,-19.7256,-14.925,-20.7762,1000,48329,10,1,28
-6.34013,-8.12551,-6.35453,-8.46886,1000,48329,6,1,1
-4.54142,-5.09621,-4.55626,-5.28861,1000,3359,6,0,34
-10.4359,-13.1041,-10.4698,-14.9328,1000,8858,8,1,12
-15.5494,-16.5479,-15.6997,-19.4604,1000,1000,10,1,9
-10.3886,-13.4739,-10.4132,-14.8782,1000,18329,8,1,0
-3.1274,-3.37258,-3.17133,-3.63198,1000,2636,4,1,38
-6.37729,-8.06807,-6.39683,-8.73587,1000,18329,6,1,14
-7.46534,-7.56424,-7.46672,-7.60973,1000,100000,8,0,23
-10.7829,-11.8585,-10.8062,-12.6434,1000,6951,10,0,36
-2.95396,-3.42405,-2.95745,-3.61895,1000,14384,4,1,34
-10.5904,-12.648,-10.6517,-14.6801,1000,3359,8,1,37
-0.636741,-0.636741,-0.636741,-0.636741,1000,1274,2,0,10
-3.07477,-3.30849,-3.08651,-3.57639,1000,3359,4,1,27
-6.3116,-8.21192,-6.32224,-8.53132,1000,61584,6,1,40
-0.442453,-0.442453,-0.442453,-0.442453,1000,29763,2,1,43
-6.30657,-8.14101,-6.31644,-8.62399,1000,37926,6,1,4
-11.0724,-12.0934,-11.0908,-12.9172,1000,6951,10,0,48
-0.480146,-0.480146,-0.480146,-0.480146,1000,8858,2,1,8
-10.3716,-13.6038,-10.389,-14.3341,1000,48329,8,1,43
-0.416932,-0.416932,-0.416932,-0.416932,1000,78475,2,1,20
-7.49462,-7.66578,-7.49737,-7.74956,1000,61584,8,0,17
-0.473605,-0.473605,-0.473605,-0.473605,1000,11288,2,1,45
-14.874,-19.1895,-14.8988,-21.743,1000,14384,10,1,27
-3.10991,-3.22159,-3.13299,-3.44903,1000,2636,4,1,19
-14.9885,-18.8545,-15.0376,-22.2444,1000,5455,10,1,19
-0.421027,-0.421027,-0.421027,-0.421027,1000,78475,2,1,37
-4.39782,-4.49108,-4.40002,-4.51272,1000,61584,6,0,36
-10.8654,-11.0776,-10.8669,-11.2244,1000,78475,10,0,3
-4.50933,-4.677,-4.51449,-4.75457,1000,23357,6,0,41
-3.24401,-3.26646,-3.28904,-3.46166,1000,1623,4,1,25
-14.8714,-20.1173,-14.8954,-21.0322,1000,78475,10,1,35
-14.9918,-17.6103,-15.0138,-20.9195,1000,3359,10,1,2
-6.43001,-7.60988,-6.43606,-8.51481,1000,6951,6,1,3
-0.415365,-0.415365,-0.415365,-0.415365,1000,61584,2,1,7
-15.8481,-16.4274,-16.0381,-18.943,1000,1000,10,1,47
-6.35685,-8.02817,-6.37373,-8.48454,1000,23357,6,1,1
-0.43478,-0.43478,-0.43478,-0.43478,1000,23357,2,1,17
-15.256,-17.8632,-15.2946,-21.3006,1000,2636,10,1,1
-6.33918,-8.27416,-6.35381,-8.48125,1000,100000,6,1,30
-0.441181,-0.441181,-0.441181,-0.441181,1000,18329,2,0,31
-10.8503,-11.2245,-10.8547,-11.4045,1000,37926,10,0,34
-7.42533,-7.56646,-7.42673,-7.61245,1000,78475,8,0,4
-10.3657,-13.6267,-10.382,-14.5538,1000,37926,8,1,45
-2.13061,-2.29237,-2.14279,-2.33683,1000,8858,4,0,24
-14.9659,-18.6732,-14.9957,-21.3585,1000,8858,10,1,1
-11.2456,-13.0707,-11.3794,-13.9709,1000,1623,10,0,49
-2.1986,-2.50642,-2.22065,-2.57441,1000,2636,4,0,35
-3.16029,-3.30427,-3.16346,-3.53209,1000,2636,4,1,43
-10.6277,-10.8542,-10.6304,-11.0043,1000,78475,10,0,13
-7.48117,-8.37668,-7.51019,-8.84146,1000,5455,8,0,46
-4.46977,-5.02544,-4.47622,-5.19398,1000,4281,6,0,18
-7.11096,-6.97032,-7.23906,-7.66953,1000,1000,6,1,37
-2.90124,-3.56488,-2.90436,-3.65998,1000,61584,4,1,39
-10.4196,-13.0045,-10.4381,-14.5561,1000,11288,8,1,20
-7.58443,-8.18167,-7.60173,-8.5741,1000,8858,8,0,44
-2.91012,-3.54894,-2.91633,-3.65735,1000,48329,4,1,33
-10.3347,-13.9456,-10.3511,-14.4475,1000,100000,8,1,31
-10.3478,-13.6646,-10.3711,-14.5263,1000,37926,8,1,42
-14.8833,-20.1654,-14.9057,-21.1089,1000,78475,10,1,10
-11.0791,-12.4396,-11.0976,-13.324,1000,4281,10,0,0
-4.39735,-4.5703,-4.40089,-4.64674,1000,29763,6,0,14
-7.56161,-8.30051,-7.59203,-8.72619,1000,6951,8,0,27
-7.53246,-7.72706,-7.536,-7.81158,1000,48329,8,0,8
-7.53688,-7.75426,-7.54208,-7.85251,1000,37926,8,0,23
-2.92272,-3.49108,-2.92765,-3.6031,1000,37926,4,1,43
-10.6638,-12.067,-10.7402,-14.0633,1000,2069,8,1,3
-10.8118,-11.3659,-10.8204,-11.7292,1000,23357,10,0,4
-6.35215,-7.93772,-6.36368,-8.47297,1000,23357,6,1,41
-10.4831,-12.6788,-10.5062,-14.6521,1000,5455,8,1,41
-2.93719,-3.61304,-2.94473,-3.6721,1000,100000,4,1,42
-0.415224,-0.415224,-0.415224,-0.415224,1000,48329,2,1,2
-7.48946,-8.01442,-7.49532,-8.33464,1000,11288,8,0,34
-10.9003,-12.1505,-10.9343,-12.9537,1000,5455,10,0,39
-2.90784,-3.51412,-2.91302,-3.61381,1000,48329,4,1,10
-2.97873,-3.46178,-2.98839,-3.66584,1000,11288,4,1,2
-10.3585,-13.5775,-10.3742,-13.9789,1000,100000,8,1,16
-10.6739,-10.8752,-10.6748,-11.0112,1000,78475,10,0,47
-3.02939,-3.2726,-3.03646,-3.51182,1000,4281,4,1,46
-2.16027,-2.23089,-2.16473,-2.24763,1000,23357,4,0,28
-0.43014,-0.43014,-0.43014,-0.43014,1000,100000,2,1,21
-2.48132,-2.77464,-2.50837,-2.82404,1000,1000,4,0,33
-6.34934,-7.92024,-6.3611,-8.68352,1000,14384,6,1,19
-2.2498,-2.43422,-2.26011,-2.4786,1000,3359,4,0,46
-6.46465,-7.61953,-6.49543,-8.50583,1000,5455,6,1,2
-2.95781,-3.45342,-2.96233,-3.65409,1000,14384,4,1,6
-0.613372,-0.613372,-0.613372,-0.613372,1000,1623,2,0,48
-2.90065,-3.53167,-2.90563,-3.60759,1000,61584,4,1,37
-10.5627,-12.4988,-10.5917,-14.568,1000,4281,8,1,30
-0.418179,-0.418179,-0.418179,-0.418179,1000,78475,2,0,36
-2.03447,-2.0637,-2.03549,-2.06912,1000,61584,4,0,11
-2.20276,-2.39358,-2.21206,-2.44849,1000,4281,4,0,31
-4.60164,-5.25879,-4.63269,-5.50202,1000,3359,6,0,36
-11.3252,-13.3028,-11.4655,-14.194,1000,1623,10,0,41
-10.8704,-12.3896,-10.9153,-13.1331,1000,3359,10,0,8
-0.5392,-0.5392,-0.5392,-0.5392,1000,6951,2,1,33
-2.44301,-2.68366,-2.463,-2.73398,1000,1000,4,0,41
-11.3341,-13.5071,-11.4457,-14.3293,1000,1000,10,0,27
-11.2373,-13.016,-11.3416,-13.994,1000,1623,10,0,0
-3.35117,-3.25983,-3.44195,-3.41537,1000,1274,4,1,40
-6.35267,-8.1173,-6.36951,-8.73891,1000,23357,6,1,32
-2.04386,-2.07931,-2.04582,-2.08499,1000,61584,4,0,45
-7.74695,-9.12459,-7.84492,-9.53798,1000,1274,8,0,22
-4.49374,-4.55437,-4.49518,-4.57155,1000,78475,6,0,48
-0.62993,-0.62993,-0.62993,-0.62993,1000,1000,2,1,32
-4.56648,-4.88195,-4.57276,-5.04166,1000,11288,6,0,42
-7.59451,-8.57153,-7.61957,-9.07254,1000,4281,8,0,0
-14.8852,-20.1971,-14.9066,-21.2053,1000,78475,10,1,49
-14.9856,-18.5869,-15.0185,-21.5673,1000,6951,10,1,14
-2.11425,-2.22423,-2.1149,-2.24423,1000,11288,4,0,8
-0.631562,-0.631562,-0.631562,-0.631562,1000,1000,2,1,8
-6.52491,-7.65505,-6.55665,-8.63864,1000,4281,6,1,45
-15.1671,-17.3164,-15.2247,-20.5155,1000,2069,10,1,12
-4.42764,-4.49209,-4.4283,-4.5073,1000,78475,6,0,1
-10.8333,-11.0437,-10.8348,-11.1481,1000,78475,10,0,20
-0.564813,-0.564813,-0.564813,-0.564813,1000,4281,2,0,5
-10.4006,-13.1472,-10.423,-14.4792,1000,14384,8,1,14
-3.07592,-3.25378,-3.09187,-3.48269,1000,3359,4,1,25
-6.35818,-7.98751,-6.36705,-8.54885,1000,23357,6,1,28
-7.50979,-8.01912,-7.51655,-8.24614,1000,14384,8,0,26
-10.3594,-13.611,-10.3773,-14.2222,1000,61584,8,1,47
-0.418839,-0.418839,-0.418839,-0.418839,1000,48329,2,0,6
-6.37197,-8.17716,-6.39024,-8.47304,1000,48329,6,1,39
-3.16213,-3.07634,-3.17626,-3.23743,1000,1623,4,1,24
-0.457455,-0.457455,-0.457455,-0.457455,1000,11288,2,0,27
-0.433294,-0.433294,-0.433294,-0.433294,1000,29763,2,1,17
-2.91266,-3.55247,-2.91883,-3.62778,1000,78475,4,1,10
-10.4282,-13.1229,-10.4409,-14.4906,1000,14384,8,1,13
-0.42263,-0.42263,-0.42263,-0.42263,1000,78475,2,0,32
-7.41499,-7.53317,-7.41606,-7.59322,1000,100000,8,0,49
-0.50244,-0.50244,-0.50244,-0.50244,1000,5455,2,1,35
-0.41755,-0.41755,-0.41755,-0.41755,1000,100000,2,0,16
-2.05996,-2.12363,-2.06192,-2.13538,1000,29763,4,0,10
-0.416352,-0.416352,-0.416352,-0.416352,1000,29763,2,1,41
-14.8993,-20.1768,-14.9194,-20.861,1000,100000,10,1,12
-7.54815,-7.80114,-7.55183,-7.88912,1000,29763,8,0,25
-0.420469,-0.420469,-0.420469,-0.420469,1000,48329,2,1,20
-7.46926,-8.35366,-7.51657,-8.90097,1000,5455,8,0,35
-4.68438,-5.484,-4.7134,-5.66721,1000,1623,6,0,12
-6.87135,-7.2937,-6.98969,-8.16937,1000,1623,6,1,10
-4.47195,-4.55004,-4.47394,-4.56727,1000,61584,6,0,49
-14.8624,-19.9981,-14.8874,-20.9873,1000,61584,10,1,36
-6.84329,-7.06166,-6.95177,-7.88897,1000,1623,6,1,3
-2.90493,-3.61749,-2.91229,-3.67791,1000,100000,4,1,12
-2.93178,-3.48902,-2.93752,-3.61949,1000,29763,4,1,32
-6.99636,-6.98972,-7.2386,-7.72835,1000,1000,6,1,13
-0.585179,-0.585179,-0.585179,-0.585179,1000,2069,2,1,43
-14.8822,-20.418,-14.9048,-21.4689,1000,78475,10,1,33
-0.535317,-0.535317,-0.535317,-0.535317,1000,4281,2,0,1
-0.474138,-0.474138,-0.474138,-0.474138,1000,8858,2,0,3
-14.8937,-19.2386,-14.9225,-21.2775,1000,18329,10,1,22
-10.4297,-13.2185,-10.4523,-14.7457,1000,14384,8,1,6
-10.3247,-13.8957,-10.3391,-14.5133,1000,78475,8,1,9
-3.29396,-3.33056,-3.34278,-3.55268,1000,2069,4,1,15
