newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
8.612236046258104e-11,-7.562208671982727e-11,2.8451872380422646e-11,-0.00536087718637588,-0.00536087718637588,-0.8295310411810164,-0.8295310411810164,-2.6925742732020526,219,0.0525
-1.8090462257512008e-11,-1.7303465446925791e-10,-8.305751609968949e-11,3.9228183694101825e-05,3.9228183694101825e-05,-0.9090075622244628,-0.9090075622244628,-2.8506412608002782,165,0.0525
-1.1641370218478748e-10,-4.825611997752825e-11,-4.3660376659807386e-11,-0.009240518676772917,-0.009240518676772917,-0.33949396987005287,-0.33949396987005287,-0.8811273653504,209,0.0209
8.351510699182124e-12,8.135296092333705e-11,9.39307361814697e-11,-0.004316046571470158,-0.004316046571470158,-1.574955176718921,-1.574955176718921,-4.694380283180873,33,0.1318
1.0472261383534648e-10,1.3332318329410504e-10,2.0118270051114034e-10,-0.05263606684952179,-0.05263606684952179,-0.8241123293766848,-0.8241123293766848,-1.2766188380851058,5,0.6918
-8.52601479257621e-11,9.906313134694e-12,-7.777462233468528e-11,-0.01856492864661288,-0.01856492864661288,-1.7198843189030288,-1.7198843189030288,-4.940997837271958,83,0.2291
5.84362740262345e-11,1.94006989612574e-11,-1.0140037061734237e-10,-0.007812493299890993,-0.007812493299890993,-1.4430997561864736,-1.4430997561864736,-4.741336099132975,82,0.1096
1.3297049988779506e-14,2.4003408063996803e-11,-3.699354128529408e-11,-0.0016214959904105445,-0.0016214959904105445,-1.183190095230862,-1.183190095230862,-3.733430187333031,159,0.0759
-4.6357166452344055e-11,-4.2486587061159616e-11,-1.606080880637695e-11,-0.002411996386480067,-0.002411996386480067,-0.1869991004020671,-0.1869991004020671,-0.4448134625142136,123,0.0120
3.2028186646006895e-10,2.5548030879736766e-10,2.898232850408565e-10,-0.011631759398735985,-0.011631759398735985,-1.7078507834260455,-1.7078507834260455,-4.897708877554673,111,0.2291
