BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,dataset,rep
-33.894089116195246,-37.39812545790616,-33.66451283059845,-37.0959753974718,-33.91521451420544,-35.04817719011338,-35.668472076926605,-35.09265253523287,-33.97933823089032,53,35
-20.626468898922784,-46.66541267892984,-21.49209835044519,-45.44498720265106,-40.41173222906569,-50.1645216716611,-68.49575080824555,-46.522880709843655,-37.01277087261827,6,35
-2.9872337654023107,-3.0045331163518045,-2.9871448954215434,-3.001908448139996,-5.407411797739335,-5.453255732480479,-3.14110721729992,-3.1390250110606317,-3.0585053198530163,24,27
-15.76101258744746,-22.09827368991107,-15.6740049503176,-18.11906519985937,-29.094902094141982,-88.65813500578872,-19.541880202240872,-17.62131261110339,-16.283123509332764,12,11
-268.89993406169015,-382.3049238335699,-262.466460556562,-335.3313669124549,-269.4947416766492,-308.37215480289325,-305.05124638443766,-285.332755284393,-269.439661949891,45,27
-5.674027074510279,-6.465407526227936,-5.577458096390301,-5.808206315093233,-5.728581064740798,-6.080354441444444,-5.817142162918576,-5.684610506908192,-5.532565795512343,38,46
-9.169259972509742,-10.221798728327308,-9.109496226792407,-9.454565466406628,-23.96496659738493,-55.03154949748482,-12.01729008138005,-10.784559523079526,-10.029770146940516,9,19
-33.82116004235232,-37.33561285064781,-33.586370131771616,-37.01827023728685,-33.81850857394547,-34.89218857202951,-35.56225793524284,-34.97608386693997,-33.89240312602046,53,8
-2.9765589061798137,-2.9921915614184003,-2.9764725407248185,-2.9914302132846937,-5.379005466936618,-5.586129133745955,-3.141622345358622,-3.1380245660510533,-3.0603878937185507,24,32
-4.72115626616392,-5.044809499979078,-4.719875847748198,-5.0046953453886855,-5.596761338180042,-5.569177855602918,-6.953561916157281,-6.077250271306802,-5.021049853730887,2,16
-5.393521420212418,-6.111875930229568,-5.318075408749002,-5.605950331932547,-6.732342914684623,-5.442519429520803,-5.382448866709009,-5.27703587559843,-5.406858284423066,38,23
-14.421585117687137,-15.506060754689694,-14.375272808155858,-15.182928198931911,-14.498134745256836,-16.35266233270392,-15.79732958719181,-15.316457576199037,-14.59415813234871,14,14
-4.394783918718769,-4.413308336434331,-4.417766596193916,-4.382728868421776,-10.70133010680453,-10.68841343950319,-5.306650553888741,-4.919406113168719,-4.579285655136354,32,1
-18.885569645564416,-37.83581198266623,-19.37402927969168,-37.8372624487149,-34.828415291658814,-42.30143729311409,-62.43686924613991,-41.81846627971367,-32.584258605016835,6,9
-2.6673998551609257,-2.6720250031400705,-2.666106700850726,-2.7025025564383904,-4.012599429215586,-4.016488153296054,-3.184880606979463,-2.8769886914568654,-2.74314761183119,30,1
-6.1954923998809175,-6.221805892381358,-6.194889107641737,-6.21571002495601,-6.242957726920007,-6.304310843353956,-6.25815013104203,-6.296081413707388,-6.206950317021232,7,18
-21.58423936467196,-37.65302448802396,-20.7758572241988,-33.58940230881677,-23.17240541285096,-29.26711143747584,-31.61752265438045,-26.17383075712953,-23.134523329367816,42,29
-21.02533608678505,-45.20750527541826,-22.00206904326314,-44.71008103900829,-40.93633656372465,-49.30266426977619,-72.18098014321129,-47.31449145011173,-37.34024974901728,6,42
-3.1698455710922744,-3.2755932350588384,-3.165422292273768,-3.2672059242580858,-3.2840007619163747,-3.534957268812115,-3.2757623899330883,-3.2117282612226736,-3.2018781337924582,8,27
-27.256403156706465,-30.05352256518691,-27.22769951995399,-29.763641503420278,-41.89797120454953,-49.23643909881135,-28.594226147100937,-27.89927138245728,-27.37677541429258,35,10
-5.627965935312518,-6.4551696641882295,-5.541997915361863,-5.917030221802532,-6.128681287697544,-6.482110272446642,-5.916057873570413,-5.729549108110048,-6.2953062863354985,38,12
-5.1246385654431394,-6.107011954746325,-5.115578101812303,-5.696558068526482,-5.974816495496594,-6.261655899880362,-8.407562099309002,-7.041577369746402,-5.774000735271527,34,11
