,K,Rep,Iterations_to_converge
1050,50,50,41
1051,50,51,45
1052,50,52,51
1053,50,53,39
1054,50,54,43
1055,50,55,48
1056,50,56,49
1057,50,57,47
1058,50,58,45
1059,50,59,50
1060,50,60,47
1061,50,61,49
1062,50,62,48
1063,50,63,49
1064,50,64,46
1065,50,65,48
1066,50,66,42
1067,50,67,49
1068,50,68,45
1069,50,69,47
1070,50,70,49
1071,50,71,44
1072,50,72,46
1073,50,73,41
1074,50,74,45
1075,50,75,43
1076,50,76,47
1077,50,77,48
1078,50,78,42
1079,50,79,44
1080,50,80,46
1081,50,81,43
1082,50,82,40
1083,50,83,42
1084,50,84,50
1085,50,85,42
1086,50,86,44
1087,50,87,57
1088,50,88,47
1089,50,89,42
1090,50,90,43
1091,50,91,46
1092,50,92,46
1093,50,93,45
1094,50,94,40
1095,50,95,42
1096,50,96,44
1097,50,97,44
1098,50,98,45
1099,50,99,54
