std,stdl,ho,hol,point,spring_rank,N,M,K1,K2,rep
-17.400489233207686,-16.116865216664653,-16.228127508759204,-16.11808004634856,-91.51368378137565,-16.135118374953613,1000,64,10,11,2
-3.7299455548983933,-3.786574159802007,-3.7446201076492827,-3.7863642343112742,-14.401570468004127,-3.826005027467575,1000,64,4,5,4
-1.29147229547875,-1.2920861164892432,-1.2921349310319257,-1.2927058447838837,-5.260338893050879,-1.2742522237680065,1000,64,2,3,7
-7.033060538121475,-7.2361224305621255,-7.002262414379628,-7.24745240559666,-65.57336093537909,-7.149796275699278,1000,64,6,7,11
-11.752281845363255,-12.974735603819239,-11.74583248568916,-12.485592540493505,-13.99927152151644,-13.611294005161538,1000,16384,10,11,2
-1.2191369173480473,-1.2742094620791857,-1.2208862877365374,-1.2756320444111504,-10.436169148531134,-1.1538863890186624,1000,64,2,3,12
-11.769864485919536,-13.01220998850066,-11.76033812058015,-12.511396671008674,-14.00495280406935,-13.61552951988527,1000,16384,10,11,19
-3.4533955842890314,-3.5102082742593064,-3.4597523021127947,-3.5026049418871668,-15.511475818837063,-3.489866420709158,1000,64,4,5,11
-7.329183317423828,-7.699730649632505,-7.204544403934479,-7.581192736225768,-62.448935264968284,-7.259898434889219,1000,64,6,7,8
-7.333822704009491,-7.631666568692207,-7.257011126650988,-7.582570653788059,-44.18512035630407,-7.402767930457633,1000,64,6,7,4
-11.693876880985735,-12.966162826582552,-11.68837169635875,-12.467503382024042,-13.984937724155794,-13.635513788711236,1000,16384,10,11,13
-10.09881325749377,-11.018715681064196,-10.134900697902285,-10.99319005658189,-68.89941672717573,-10.561091150161342,1000,64,8,9,1
-3.965342727285652,-3.8004801571019664,-3.909941484930684,-3.7948966398072055,-32.83005881526488,-5.6823690935188385,1000,64,4,5,6
-1.2433480271634276,-1.2766827549757045,-1.2481195592129797,-1.282102731236555,-8.495932571067545,-1.1872461660362674,1000,64,2,3,10
-11.691160679132725,-12.961450901487462,-11.687356155896786,-12.476854381438832,-13.953863693104601,-13.60071162996131,1000,16384,10,11,6
-16.014194634462235,-15.725882120879286,-15.11146247474009,-15.522030916261201,-91.25601836971038,-15.452781015896347,1000,64,10,11,9
-15.519268598701881,-15.740560568089272,-14.934396169049045,-15.66183112357798,-100.45436643465952,-15.532608759282308,1000,64,10,11,10
-7.35295950229444,-7.80289044057675,-7.260222480937285,-7.692906128523069,-68.7925239318661,-7.269419091903289,1000,64,6,7,14
-7.759930416409234,-7.565704215440571,-7.3345253863146995,-7.445838545992335,-79.02269284334767,-7.213108433400586,1000,64,6,7,2
-15.01530531928833,-15.292995690876959,-14.829726011538806,-15.364410057393759,-118.87720979650602,-15.355948766183435,1000,64,10,11,19
-3.7783666780965266,-3.7112570687415287,-3.739277069639645,-3.694891216339665,-27.472373826162954,-3.7417007391250037,1000,64,4,5,12
-1.0972685521319117,-1.0933565675026364,-1.1019225764648402,-1.0991176993784912,-5.147780785202723,-1.0845006964214077,1000,64,2,3,14
-9.96576007667528,-11.014698256043166,-9.958583379463354,-10.508042644517564,-12.011233083403736,-11.71658595530276,1000,16384,9,10,9
-17.679766472907033,-16.39221284359121,-16.293094466802806,-16.27084504048525,-121.39854161489066,-16.049139389008978,1000,64,10,11,18
-11.542973250755104,-11.60298629125752,-11.156534423840329,-11.574656651733777,-97.28722052464431,-11.159046228482591,1000,64,8,9,16
-9.969037889580743,-10.926265699804967,-9.962343126287093,-10.51373302372676,-11.996147677313697,-11.61419804313679,1000,16384,9,10,11
