newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-0.20697864723619716,-0.09612858134142324,-0.2798775156304451,-0.38831820476909207,-0.13417150245908413,-0.9363785107670294,-0.6547451922034235,-0.4098480511454222,10,81
-0.257359642360675,-0.11647935000146921,-0.33471735571179473,-0.4527870492774371,-0.15184525676052277,-0.9982302530114302,-0.7380598648009675,-0.4997430824870081,12,34
-0.45009671979284477,-0.12286943395813812,-0.553372632458993,-0.6879119484595605,-0.20071092622665412,-1.2554215950902599,-1.0144783081958217,-0.7566623274392441,18,7
-0.41822738983315916,-0.12827079795262752,-0.5106938760001465,-0.5905266205530117,-0.1814802102811981,-1.1159926363612562,-0.8975007248966888,-0.6759265579180426,18,5
3.0445397960349176e-10,2.219914788173516e-10,3.590996188393425e-10,-0.020930243632609716,-0.020930243632609716,-1.3965379202636727,-1.3965379202636727,-3.6871510844900977,2,8
-0.35023039381616183,-0.08293532171061695,-0.44596828433223573,-0.5514742857861521,-0.1930511407740724,-1.101460235569989,-0.8542574051557172,-0.6103466332396242,14,97
-1.182995772452955e-10,-6.557053061628793e-11,-2.1741625497173622e-10,-0.019035030439725282,-0.019035030439725282,-1.346579225920761,-1.346579225920761,-3.7779038514186705,2,29
-4.2737968351802546e-10,-3.8278885298309585e-10,-1.8672560236215884e-10,-0.03048200119017016,-0.03048200119017016,-1.2918086218264022,-1.2918086218264022,-3.1659330071159877,2,14
-0.11721609043445973,-0.009754837255767711,-0.1166842584718487,-0.16873232378024255,-0.07613986303142824,-1.3970266684280432,-1.0665758480482515,-0.9925828402377663,4,6
-0.4127068492517558,-0.09738088592505936,-0.5005238666741483,-0.5881749451628402,-0.17122581510777837,-1.076286925085426,-0.8739775798572661,-0.6495998647950123,16,26
-0.2967912566519661,-0.09277913818720288,-0.3787775403400074,-0.5364414871606473,-0.20726771127434326,-1.0792265478942011,-0.824897055137367,-0.5677229995713642,12,1
-0.08727352526091701,-0.011572733069104071,-0.08775375028140618,-0.130453079600413,-0.08788223686145352,-1.4559298425195726,-1.1121045863252526,-1.2172704536403425,4,21
-2.009684060833017e-11,2.4249649208107906e-10,-8.795997653854304e-11,-0.021956719704821572,-0.021956719704821572,-1.3104914963096839,-1.3104914963096839,-3.5271500302765766,2,4
-0.20168677325092427,-0.06853888500923644,-0.25290707588655736,-0.3383708910990197,-0.1661618176060347,-0.9089995312706183,-0.6357660382676832,-0.36780003659332217,8,60
-0.2877386667160487,-0.06994994649704779,-0.3705570166726665,-0.4398488348097698,-0.1266329584241018,-0.9137228796560938,-0.7018578116951305,-0.4818858782039945,12,11
-0.23757374918083946,-0.08124010343384837,-0.3018080349347713,-0.4522628529046283,-0.2103089642036371,-1.0930450802124996,-0.7884677563826026,-0.5148962380327475,10,58
-5.843118773551925e-11,5.284612243777742e-10,2.8817218146459657e-10,-0.026652869326354484,-0.026652869326354484,-1.3009682218992438,-1.3009682218992438,-3.237589722785094,2,15
-0.22008635191875822,-0.07770047599312921,-0.286479044110019,-0.3978506194074762,-0.1580766987162324,-0.9871887681548773,-0.7119397956593577,-0.4380389191773475,10,71
-0.29333994076898284,-0.06584882719295201,-0.3831271857598795,-0.49471967539027073,-0.19349596040365794,-1.0553591520857848,-0.7944834457019456,-0.541028068767187,12,26
-0.39091236930354534,-0.14500648910166597,-0.473424755368063,-0.5982572132248096,-0.18036152220887094,-1.1571255725294227,-0.9143032800136455,-0.68230783759573,18,84
-0.12625423059185883,-0.011389685436208549,-0.13087957230566666,-0.15902193017348026,-0.097970864749909,-1.4889699128589804,-1.159703100800397,-0.955315055155202,4,89
-0.18639687413970138,-0.04533866137340651,-0.19866471741655906,-0.2291076090237944,-0.10588719186925029,-0.9998175624234777,-0.6864163267765442,-0.4209251333997035,6,62
