newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
0.39,0.037,0.05,0.048,0.044,0.001,0.015,0.073,16,60
0.408,0.075,0.091,0.081,0.078,0.002,0.033,0.117,12,40
0.501,0.484,0.482,0.332,0.332,0.378,0.378,0.413,2,47
0.38,0.036,0.049,0.031,0.035,0.001,0.008,0.057,18,65
0.372,0.024,0.035,0.024,0.027,0.0,0.007,0.054,18,75
0.377,0.111,0.144,0.098,0.114,0.012,0.058,0.148,10,76
0.395,0.164,0.184,0.152,0.174,0.028,0.086,0.211,8,66
0.43,0.156,0.179,0.162,0.162,0.026,0.1,0.199,8,25
0.379,0.134,0.152,0.124,0.136,0.019,0.071,0.176,10,29
0.406,0.086,0.112,0.076,0.085,0.004,0.034,0.118,12,81
0.433,0.107,0.136,0.102,0.108,0.015,0.059,0.148,10,80
0.432,0.123,0.139,0.107,0.122,0.016,0.061,0.157,10,31
0.408,0.167,0.177,0.151,0.161,0.032,0.083,0.179,8,98
0.381,0.127,0.149,0.126,0.127,0.017,0.076,0.184,10,87
0.415,0.174,0.178,0.156,0.15,0.031,0.098,0.187,8,49
0.35,0.042,0.07,0.052,0.056,0.001,0.019,0.099,16,40
0.478,0.269,0.258,0.205,0.21,0.07,0.14,0.245,6,47
0.54,0.343,0.328,0.279,0.283,0.145,0.206,0.29,4,35
0.351,0.03,0.041,0.035,0.033,0.002,0.011,0.074,16,78
0.407,0.142,0.15,0.106,0.128,0.008,0.054,0.151,10,69
0.449,0.175,0.197,0.161,0.164,0.037,0.1,0.208,8,45
0.381,0.039,0.053,0.057,0.046,0.001,0.015,0.101,16,52
0.53,0.326,0.313,0.258,0.279,0.163,0.216,0.273,4,15
0.38,0.037,0.059,0.054,0.046,0.0,0.014,0.081,16,1
0.415,0.052,0.081,0.071,0.066,0.003,0.025,0.101,14,81
0.378,0.056,0.059,0.039,0.047,0.002,0.012,0.079,16,41
0.456,0.155,0.18,0.151,0.165,0.018,0.092,0.187,8,26
0.401,0.057,0.08,0.062,0.067,0.005,0.033,0.105,14,72
0.376,0.024,0.035,0.031,0.028,0.0,0.009,0.057,18,9
0.439,0.241,0.254,0.226,0.235,0.06,0.144,0.268,6,78
0.501,0.55,0.535,0.341,0.341,0.378,0.378,0.414,2,22
0.379,0.026,0.038,0.039,0.025,0.0,0.005,0.058,18,73
0.509,0.488,0.529,0.336,0.336,0.407,0.407,0.421,2,26
0.515,0.354,0.355,0.285,0.292,0.159,0.205,0.29,4,17
0.423,0.093,0.125,0.09,0.095,0.006,0.038,0.13,12,50
0.414,0.149,0.175,0.165,0.156,0.032,0.099,0.207,8,32
0.377,0.044,0.072,0.075,0.066,0.001,0.032,0.092,16,42
0.436,0.171,0.195,0.146,0.154,0.029,0.091,0.201,8,68
0.467,0.466,0.486,0.349,0.349,0.393,0.393,0.438,2,56
0.45,0.253,0.245,0.199,0.222,0.06,0.143,0.242,6,25
0.385,0.035,0.061,0.051,0.051,0.0,0.018,0.078,16,2
0.518,0.348,0.353,0.29,0.301,0.16,0.212,0.302,4,76
0.463,0.263,0.26,0.212,0.23,0.072,0.147,0.262,6,30
0.382,0.045,0.056,0.061,0.051,0.0,0.016,0.102,14,57
0.382,0.034,0.047,0.055,0.039,0.0,0.014,0.078,18,54
0.504,0.368,0.371,0.309,0.334,0.17,0.222,0.325,4,3
0.356,0.035,0.069,0.069,0.054,0.0,0.024,0.086,16,27
0.481,0.468,0.475,0.346,0.346,0.393,0.393,0.426,2,94
0.518,0.559,0.505,0.364,0.364,0.384,0.384,0.441,2,23
0.374,0.109,0.13,0.103,0.11,0.014,0.051,0.156,10,27
