HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-0.823005,-0.435535,-0.718533,-0.406211,00008,30
-2.10758,-1.96994,-2.0602,-1.97005,00003,35
-0.83051,-0.81398,-0.832879,-0.80594,00001,46
-0.7562,-0.791691,-0.75255,-0.79476,00002,39
-0.767909,-0.780381,-0.769361,-0.783134,00002,23
-2.02746,-1.9258,-1.9922,-1.93408,00004,31
-0.729774,-0.742656,-0.712578,-0.729038,00001,2
-2.22124,-1.8872,-2.0036,-1.75476,00010,11
-0.771276,-0.770665,-0.765586,-0.768448,00002,24
-2.05319,-1.91908,-2.00887,-1.91905,00003,23
-0.751673,-0.765078,-0.744679,-0.75546,00002,28
-0.008216,-0.0109525,-0.00815104,-0.01085,00005,41
-2.06762,-1.92796,-2.02275,-1.92802,00003,18
-0.561449,-0.252012,-0.459397,-0.222536,00008,17
-0.781958,-0.776536,-0.779041,-0.761644,00001,27
-0.905785,-0.939983,-0.922436,-0.946082,00001,31
-1.17826,-1.17146,-1.17664,-1.17115,00006,27
-2.0793,-1.98721,-2.04588,-1.98908,00004,44
-0.822275,-0.847966,-0.822574,-0.854999,00002,12
-2.07241,-1.92174,-2.02654,-1.9217,00003,1
-2.06556,-1.96457,-2.03129,-1.97385,00004,41
-2.09299,-1.95246,-2.04639,-1.95236,00003,17
-2.06321,-1.98568,-2.03256,-1.99045,00004,1
-1.18912,-1.18146,-1.18748,-1.18134,00006,36
-1.17901,-1.17184,-1.17754,-1.17172,00006,11
-1.08464,-0.6096,-0.979158,-0.579551,00008,32
-1.1777,-1.17161,-1.17564,-1.17044,00006,45
-0.879788,-0.906674,-0.882212,-0.909428,00001,23
-2.03969,-1.90685,-1.99928,-1.90865,00004,13
-2.04491,-1.94159,-2.01068,-1.94155,00004,9
-2.93939,-1.75855,-2.61697,-1.63654,00010,5
-0.742326,-0.779234,-0.748764,-0.791999,00001,4
-1.23407,-0.767474,-1.14605,-0.743185,00008,46
-1.17308,-1.16265,-1.17105,-1.16292,00006,6
-0.8198,-0.851022,-0.806432,-0.845433,00001,6
-0.0449412,-0.0449412,-0.0449412,-0.0449412,00009,3
-2.48736,-1.71081,-2.21404,-1.60145,00010,25
-0.00821781,-0.0109525,-0.00815147,-0.01085,00005,5
-1.18924,-1.18644,-1.18839,-1.18638,00006,30
-2.02228,-1.89618,-1.98511,-1.89499,00004,34
-2.26855,-1.47361,-2.04413,-1.38682,00010,44
-2.84723,-1.8507,-2.52523,-1.7257,00010,37
-1.20234,-1.19317,-1.20037,-1.19328,00006,18
-0.823807,-0.844678,-0.831263,-0.854888,00002,43
-1.19142,-1.18556,-1.19038,-1.1856,00006,24
-0.0082174,-0.0109525,-0.00815272,-0.01085,00005,25
