newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
0.5133333333333333,0.3506666666666667,0.3473333333333333,0.2753333333333333,0.2826666666666667,0.14066666666666666,0.20533333333333334,0.27266666666666667,7500,100
0.5155,0.4003,0.3651,0.2161,0.2363,0.0938,0.1236,0.2032,50000,30
0.522,0.3425,0.3395,0.241,0.245,0.1165,0.158,0.2475,10000,98
0.492,0.414,0.412,0.348,0.36,0.192,0.244,0.258,2500,28
0.5219,0.4043,0.3708,0.2124,0.245,0.0966,0.1214,0.205,50000,96
0.506,0.368,0.36,0.356,0.344,0.188,0.248,0.318,2500,45
0.517,0.36975,0.345,0.233,0.24875,0.106,0.14325,0.227,20000,36
0.5278,0.4123,0.3768,0.205,0.2283,0.0899,0.1177,0.1997,50000,19
0.565,0.48,0.48,0.365,0.345,0.19,0.22,0.29,1000,72
0.496,0.356,0.362,0.344,0.326,0.168,0.212,0.248,2500,11
0.474,0.382,0.38,0.364,0.358,0.188,0.23,0.296,2500,74
0.52,0.4013,0.3667,0.2094,0.2418,0.09,0.1141,0.1959,50000,80
0.5265,0.369,0.34125,0.2195,0.25,0.10725,0.142,0.22125,20000,75
0.485,0.41,0.43,0.395,0.385,0.165,0.18,0.225,1000,23
0.526,0.346,0.3273333333333333,0.244,0.272,0.146,0.192,0.268,7500,90
0.5215,0.4048,0.3666,0.2103,0.2325,0.0845,0.1141,0.1952,50000,94
0.5035,0.3475,0.33,0.2655,0.2775,0.134,0.183,0.269,10000,82
0.5163,0.41,0.3743,0.2073,0.2285,0.0891,0.1168,0.1926,50000,61
0.529,0.3375,0.3235,0.238,0.2435,0.1245,0.1735,0.253,10000,81
0.525,0.372,0.3495,0.2135,0.24225,0.10325,0.1395,0.21425,20000,76
0.49666666666666665,0.3446666666666667,0.348,0.2673333333333333,0.28733333333333333,0.158,0.198,0.2806666666666667,7500,57
0.5162,0.4042,0.3712,0.2036,0.2273,0.0899,0.1188,0.1991,50000,64
0.508,0.3313333333333333,0.32666666666666666,0.2806666666666667,0.2946666666666667,0.15066666666666667,0.212,0.302,7500,13
0.525,0.36025,0.3295,0.2125,0.22275,0.09775,0.13775,0.21525,20000,86
0.555,0.42,0.41,0.325,0.31,0.155,0.195,0.3,1000,100
0.508,0.374,0.356,0.336,0.33,0.156,0.21,0.266,2500,99
0.5,0.455,0.485,0.385,0.355,0.165,0.18,0.26,1000,5
0.5033333333333333,0.3473333333333333,0.3413333333333333,0.27266666666666667,0.294,0.154,0.204,0.2826666666666667,7500,47
0.47,0.37,0.376,0.354,0.372,0.192,0.238,0.308,2500,62
0.5218,0.4064,0.3696,0.2095,0.2421,0.0898,0.1219,0.2053,50000,76
0.522,0.392,0.372,0.322,0.314,0.162,0.218,0.266,2500,80
0.5326666666666666,0.3353333333333333,0.32066666666666666,0.25,0.25733333333333336,0.13466666666666666,0.18533333333333332,0.26266666666666666,7500,49
0.514,0.331,0.3135,0.2305,0.24,0.128,0.1705,0.244,10000,57
0.5229,0.4025,0.3685,0.2074,0.2395,0.0906,0.1187,0.1951,50000,27
0.555,0.41,0.43,0.4,0.33,0.195,0.225,0.29,1000,45
0.505,0.475,0.495,0.42,0.43,0.18,0.205,0.245,1000,24
0.5,0.406,0.394,0.36,0.374,0.174,0.208,0.292,2500,29
0.522,0.374,0.382,0.302,0.334,0.178,0.24,0.268,2500,84
0.5101,0.3937,0.361,0.2159,0.2378,0.0938,0.1259,0.2036,50000,99
0.5033333333333333,0.3466666666666667,0.35,0.26266666666666666,0.2886666666666667,0.148,0.20266666666666666,0.2846666666666667,7500,87
0.5013333333333333,0.3333333333333333,0.31866666666666665,0.27266666666666667,0.26866666666666666,0.14,0.19,0.274,7500,17
0.474,0.4,0.396,0.372,0.38,0.204,0.242,0.266,2500,76
0.482,0.348,0.362,0.344,0.368,0.198,0.24,0.314,2500,36
0.529,0.3985,0.3631,0.1992,0.234,0.0898,0.1179,0.1923,50000,46
0.52,0.4029,0.3758,0.2216,0.2428,0.0924,0.121,0.2043,50000,28
0.488,0.388,0.386,0.368,0.338,0.178,0.238,0.3,2500,59
0.527,0.355,0.3435,0.259,0.2665,0.127,0.185,0.2655,10000,42
0.46,0.37,0.386,0.376,0.348,0.176,0.228,0.296,2500,25
0.5119,0.3999,0.372,0.2072,0.2439,0.0943,0.123,0.2009,50000,98
0.5285,0.37025,0.34,0.227,0.233,0.106,0.14325,0.2215,20000,46
0.496,0.418,0.412,0.354,0.346,0.182,0.232,0.276,2500,68
0.528,0.366,0.364,0.35,0.342,0.186,0.26,0.25,2500,18
0.5345,0.334,0.319,0.221,0.241,0.1135,0.1495,0.2325,10000,70
0.488,0.368,0.362,0.356,0.36,0.186,0.218,0.302,2500,31
0.5133,0.3997,0.3662,0.2089,0.2356,0.0926,0.1204,0.1963,50000,72
0.5325,0.3245,0.3,0.239,0.2545,0.1245,0.1585,0.25,10000,89
0.52,0.32266666666666666,0.304,0.24866666666666667,0.25,0.142,0.18466666666666667,0.25,7500,2
0.51575,0.35475,0.3255,0.212,0.2335,0.103,0.13775,0.21425,20000,12
0.49,0.3373333333333333,0.3353333333333333,0.2613333333333333,0.284,0.13733333333333334,0.19333333333333333,0.2733333333333333,7500,8
0.5228,0.403,0.3669,0.205,0.2306,0.0909,0.1178,0.1974,50000,31
0.537,0.356,0.326,0.21825,0.24325,0.1015,0.14025,0.22225,20000,50
0.496,0.374,0.364,0.338,0.34,0.194,0.248,0.274,2500,50
0.5107,0.3905,0.3572,0.2099,0.2375,0.0874,0.118,0.1934,50000,69
0.492,0.354,0.354,0.354,0.356,0.194,0.238,0.294,2500,5
0.5206,0.4022,0.3693,0.2143,0.2388,0.0955,0.1253,0.2044,50000,17
0.526,0.36,0.3445,0.2615,0.291,0.1335,0.1745,0.2615,10000,27
0.522,0.378,0.376,0.33,0.336,0.18,0.216,0.254,2500,60
0.5,0.55,0.545,0.455,0.435,0.2,0.22,0.25,1000,31
0.484,0.41,0.39,0.352,0.366,0.172,0.232,0.276,2500,23
0.517,0.4027,0.3759,0.2154,0.2385,0.0964,0.1206,0.2005,50000,85
0.5,0.465,0.46,0.36,0.39,0.175,0.195,0.275,1000,49
0.517,0.3735,0.33975,0.21325,0.233,0.10025,0.1345,0.21725,20000,11
0.515,0.355,0.33925,0.21875,0.24575,0.10725,0.145,0.22625,20000,54
0.5185,0.3375,0.332,0.2405,0.2625,0.1195,0.167,0.2525,10000,15
0.523,0.4073,0.3756,0.2132,0.228,0.0906,0.1195,0.1975,50000,48
0.5145,0.3535,0.3375,0.2515,0.2795,0.136,0.182,0.262,10000,100
0.52225,0.36675,0.34025,0.2195,0.2365,0.1055,0.1455,0.221,20000,98
0.528,0.37475,0.3485,0.20975,0.22875,0.09775,0.135,0.21075,20000,32
0.5313333333333333,0.3626666666666667,0.33466666666666667,0.25066666666666665,0.2713333333333333,0.132,0.17533333333333334,0.25666666666666665,7500,16
0.485,0.47,0.525,0.425,0.4,0.12,0.125,0.31,1000,28
0.52,0.505,0.475,0.38,0.355,0.155,0.18,0.275,1000,75
0.523,0.356,0.328,0.234,0.257,0.118,0.161,0.248,10000,69
0.5157,0.4048,0.3703,0.2113,0.2368,0.0967,0.1229,0.2037,50000,34
0.55,0.41,0.425,0.35,0.375,0.135,0.175,0.29,1000,36
0.5,0.43,0.46,0.43,0.38,0.18,0.195,0.235,1000,80
0.5486666666666666,0.336,0.312,0.24466666666666667,0.25666666666666665,0.12733333333333333,0.17666666666666667,0.25466666666666665,7500,53
0.5293333333333333,0.336,0.33266666666666667,0.25266666666666665,0.26266666666666666,0.14,0.19066666666666668,0.27066666666666667,7500,55
0.518,0.3393333333333333,0.324,0.2633333333333333,0.25933333333333336,0.14866666666666667,0.20266666666666666,0.27266666666666667,7500,23
0.5106,0.397,0.3655,0.2185,0.2437,0.098,0.1244,0.2099,50000,10
0.595,0.465,0.455,0.35,0.345,0.205,0.23,0.305,1000,55
0.5185,0.37375,0.3485,0.227,0.23475,0.10575,0.14875,0.2255,20000,90
0.5206666666666667,0.33466666666666667,0.32133333333333336,0.25266666666666665,0.2653333333333333,0.12933333333333333,0.17466666666666666,0.2673333333333333,7500,50
0.516,0.354,0.348,0.332,0.332,0.198,0.254,0.27,2500,30
0.5206666666666667,0.3426666666666667,0.328,0.26266666666666666,0.2786666666666667,0.152,0.20466666666666666,0.2786666666666667,7500,71
0.502,0.39,0.384,0.34,0.354,0.194,0.226,0.264,2500,35
0.464,0.374,0.374,0.35,0.362,0.172,0.218,0.26,2500,8
0.478,0.352,0.338,0.344,0.328,0.182,0.244,0.282,2500,34
0.516,0.374,0.382,0.322,0.364,0.174,0.222,0.284,2500,90
0.524,0.36175,0.336,0.22325,0.2355,0.10625,0.1385,0.22075,20000,29
0.536,0.3585,0.3445,0.2385,0.2555,0.132,0.173,0.252,10000,59
0.5106,0.4027,0.369,0.2094,0.2358,0.0936,0.1237,0.1994,50000,67
0.5175,0.36775,0.34325,0.22875,0.255,0.102,0.13975,0.22575,20000,43
0.5106666666666667,0.3393333333333333,0.326,0.24533333333333332,0.26066666666666666,0.14666666666666667,0.18733333333333332,0.25866666666666666,7500,89
0.555,0.41,0.4,0.35,0.325,0.19,0.22,0.285,1000,44
0.5186,0.4034,0.3704,0.2151,0.2468,0.0938,0.1226,0.2017,50000,42
0.48,0.41,0.445,0.39,0.395,0.145,0.17,0.285,1000,74
0.5292,0.4053,0.3721,0.2002,0.2279,0.0879,0.1134,0.1953,50000,23
0.518,0.35,0.35,0.26,0.264,0.1185,0.177,0.2715,10000,24
0.5132,0.4084,0.3731,0.2218,0.2359,0.0947,0.1282,0.2064,50000,14
0.51,0.3486666666666667,0.33666666666666667,0.24933333333333332,0.25933333333333336,0.14933333333333335,0.20266666666666666,0.2653333333333333,7500,97
0.514,0.36225,0.3405,0.22425,0.2515,0.107,0.14325,0.22425,20000,28
0.5328,0.4072,0.377,0.2042,0.2252,0.0838,0.1133,0.1953,50000,56
0.5194,0.4023,0.3693,0.2108,0.2343,0.0957,0.1216,0.2018,50000,77
0.53725,0.38325,0.351,0.22825,0.23775,0.10625,0.14375,0.22675,20000,6
0.5203,0.4006,0.3724,0.2167,0.2402,0.0936,0.1226,0.206,50000,62
0.506,0.364,0.346,0.34,0.332,0.198,0.258,0.292,2500,27
0.536,0.336,0.3255,0.2265,0.2525,0.1275,0.169,0.2485,10000,93
0.5315,0.356,0.3245,0.235,0.251,0.12,0.16,0.2425,10000,46
0.531,0.36325,0.339,0.23,0.248,0.10825,0.14525,0.22975,20000,45
0.5146666666666667,0.32866666666666666,0.30533333333333335,0.22,0.23533333333333334,0.13,0.178,0.248,7500,75
0.5225,0.3485,0.3315,0.2295,0.2435,0.128,0.174,0.2535,10000,7
0.5276,0.4117,0.3809,0.2077,0.2405,0.0889,0.1145,0.1976,50000,95
0.5278,0.4038,0.3686,0.2037,0.2308,0.084,0.1091,0.191,50000,74
0.5386666666666666,0.34,0.33066666666666666,0.246,0.26266666666666666,0.12733333333333333,0.18533333333333332,0.25933333333333336,7500,3
0.474,0.348,0.37,0.366,0.35,0.194,0.252,0.3,2500,91
0.5122,0.4132,0.3776,0.2079,0.2303,0.0918,0.1195,0.2036,50000,53
0.5473333333333333,0.332,0.30133333333333334,0.23066666666666666,0.24133333333333334,0.126,0.18133333333333335,0.25133333333333335,7500,85
0.5405,0.3775,0.35,0.2265,0.252,0.114,0.1505,0.238,10000,3
0.475,0.375,0.42,0.41,0.375,0.17,0.18,0.265,1000,33
0.5237,0.4086,0.3739,0.2001,0.2205,0.0863,0.1148,0.1956,50000,60
0.529,0.4042,0.3651,0.2132,0.2309,0.0894,0.1181,0.1988,50000,83
0.44,0.44,0.45,0.415,0.37,0.16,0.175,0.295,1000,60
0.522,0.4068,0.376,0.217,0.2375,0.0982,0.1259,0.2027,50000,3
0.533,0.362,0.33025,0.2105,0.22525,0.0995,0.1325,0.2085,20000,21
0.5125,0.4059,0.3757,0.2064,0.2301,0.0902,0.118,0.2006,50000,59
0.536,0.358,0.358,0.322,0.34,0.182,0.226,0.256,2500,48
0.5453333333333333,0.3453333333333333,0.328,0.23733333333333334,0.25066666666666665,0.13133333333333333,0.17666666666666667,0.262,7500,42
0.56,0.42,0.41,0.355,0.3,0.155,0.17,0.34,1000,27
0.52,0.3495,0.3355,0.248,0.27,0.124,0.169,0.2605,10000,50
0.502,0.3446666666666667,0.3413333333333333,0.2753333333333333,0.2986666666666667,0.154,0.20866666666666667,0.2793333333333333,7500,93
0.6,0.405,0.41,0.345,0.34,0.18,0.2,0.295,1000,68
0.505,0.47,0.465,0.415,0.38,0.205,0.215,0.22,1000,21
0.5166666666666667,0.36,0.3506666666666667,0.2653333333333333,0.276,0.14066666666666666,0.18866666666666668,0.276,7500,20
0.48,0.53,0.505,0.415,0.45,0.16,0.175,0.315,1000,73
0.498,0.358,0.35,0.36,0.342,0.184,0.246,0.294,2500,95
