HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-0.0407406,-0.0407406,-0.0407406,-0.0407406,00009,45
-0.0559457,-0.0559457,-0.0559457,-0.0559457,00009,21
-1.39764,-1.41547,-1.39444,-1.43114,00002,16
-14.2139,-15.5013,-14.2618,-15.5141,00003,22
-1.23432,-1.21408,-1.23326,-1.23176,00001,15
-3.0918,-3.12399,-3.09328,-3.11698,00006,14
-3.11721,-3.14794,-3.11795,-3.13955,00006,17
-3.24546,-4.11209,-3.05293,-4.48822,00008,40
-3.07883,-3.11688,-3.08023,-3.10811,00006,1
-36.6698,-43.6924,-37.5402,-47.5466,00010,10
-3.02664,-3.9579,-2.97074,-4.34803,00008,42
-1.34576,-1.41391,-1.34255,-1.43325,00002,13
-6.02477,-6.55837,-6.09916,-6.55791,00005,1
-14.2647,-15.6749,-14.3221,-15.6909,00003,3
-0.0580215,-0.0580215,-0.0580215,-0.0580215,00009,16
-1.37609,-1.37095,-1.4015,-1.40035,00002,11
-14.2334,-15.6255,-14.2997,-15.6393,00003,15
-1.70231,-1.68225,-1.69938,-1.66481,00001,0
-3.14179,-3.17464,-3.14249,-3.16584,00006,15
-0.0418866,-0.0418866,-0.0418866,-0.0418866,00009,27
-37.491,-45.7429,-38.6142,-51.7127,00010,22
-14.2001,-15.2221,-14.2291,-15.4648,00004,43
-5.75518,-6.62072,-5.63957,-6.62069,00005,20
-1.27029,-1.32094,-1.2685,-1.32604,00002,33
-1.53271,-1.57609,-1.53299,-1.60933,00001,16
-36.9348,-45.3146,-38.079,-51.4362,00010,35
-3.15887,-3.1926,-3.15972,-3.18426,00006,13
-0.0693183,-0.0693183,-0.0693183,-0.0693183,00009,36
-0.0432061,-0.0432061,-0.0432061,-0.0432061,00009,18
-1.15112,-1.22686,-1.14337,-1.203,00002,14
-1.41566,-1.4549,-1.42023,-1.46377,00002,35
-14.1677,-15.1937,-14.2009,-15.4773,00004,4
-0.0595238,-0.0595238,-0.0595238,-0.0595238,00009,9
-3.13641,-3.16092,-3.13572,-3.15308,00006,46
-3.12253,-3.15978,-3.12359,-3.15075,00006,28
-5.8009,-6.56396,-5.83557,-6.56357,00005,6
-14.2455,-15.3803,-14.2833,-15.7617,00004,37
-1.66557,-1.66836,-1.6783,-1.71167,00001,34
-3.0826,-3.11959,-3.0829,-3.10947,00006,16
-6.14347,-6.57514,-6.18874,-6.57481,00005,46
-2.90078,-4.027,-2.97013,-4.41232,00008,12
-3.15308,-3.19129,-3.15367,-3.18111,00006,47
-5.88735,-6.61557,-5.92456,-6.61555,00005,31
-36.0188,-40.6978,-35.8192,-43.896,00010,45
-1.19853,-1.27695,-1.19406,-1.29282,00002,20
-0.0593476,-0.0593476,-0.0593476,-0.0593476,00009,31
-35.8418,-44.02,-35.914,-47.6291,00010,7
-1.47744,-1.50193,-1.48048,-1.5165,00002,25
-3.08438,-3.12034,-3.08531,-3.11004,00006,5
-14.2877,-15.7963,-14.3657,-15.8111,00003,37
-0.0372684,-0.0372684,-0.0372684,-0.0372684,00009,43
